row_index,selected_spot_index,cluster,x,y
437,437,2,46.0,96.0
438,438,1,48.0,16.0
439,439,4,30.0,120.0
440,440,1,26.0,86.0
441,441,3,59.0,49.0
442,442,4,49.0,99.0
443,443,1,28.0,38.0
444,444,1,15.0,55.0
445,445,1,45.0,25.0
446,446,1,59.0,17.0
447,447,4,16.0,112.0
448,448,0,50.0,42.0
449,449,0,13.0,89.0
450,450,1,36.0,110.0
451,451,0,55.0,53.0
452,452,4,29.0,113.0
453,453,2,8.0,74.0
454,454,2,44.0,20.0
455,455,1,35.0,65.0
456,456,4,68.0,40.0
457,457,4,15.0,113.0
458,458,2,37.0,97.0
459,459,0,65.0,33.0
460,460,1,34.0,92.0
461,461,0,30.0,88.0
462,462,1,33.0,63.0
463,463,2,12.0,76.0
464,464,3,63.0,35.0
465,465,3,35.0,31.0
466,466,2,35.0,109.0
467,467,3,46.0,20.0
468,468,3,26.0,104.0
469,469,4,37.0,17.0
470,470,4,66.0,8.0
471,471,0,22.0,74.0
472,472,2,41.0,67.0
473,473,4,5.0,91.0
474,474,1,16.0,60.0
475,475,0,69.0,9.0
476,476,0,29.0,109.0
477,477,4,10.0,108.0
478,478,0,25.0,79.0
479,479,3,6.0,88.0
480,480,4,4.0,102.0
481,481,0,16.0,98.0
482,482,1,25.0,33.0
483,483,4,64.0,48.0
484,484,0,58.0,26.0
485,485,3,58.0,52.0
486,486,0,67.0,35.0
487,487,1,41.0,47.0
488,488,3,48.0,90.0
489,489,3,42.0,100.0
490,490,0,17.0,93.0
491,491,2,69.0,1.0
492,492,4,76.0,126.0
493,493,2,38.0,90.0
494,494,1,25.0,39.0
495,495,3,47.0,23.0
496,496,4,40.0,112.0
497,497,1,51.0,29.0
498,498,2,29.0,111.0
499,499,2,54.0,30.0
500,500,3,24.0,66.0
501,501,3,44.0,102.0
502,502,4,21.0,121.0
503,503,3,44.0,52.0
504,504,3,66.0,28.0
505,505,3,35.0,87.0
506,506,1,29.0,103.0
507,507,3,8.0,88.0
508,508,0,45.0,49.0
509,509,0,33.0,87.0
510,510,3,46.0,42.0
511,511,3,41.0,89.0
512,512,2,24.0,94.0
513,513,2,40.0,12.0
514,514,4,47.0,9.0
515,515,3,17.0,95.0
516,516,2,40.0,44.0
517,517,0,16.0,80.0
518,518,2,51.0,25.0
519,519,0,15.0,89.0
520,520,1,30.0,50.0
521,521,0,43.0,65.0
522,522,3,70.0,10.0
523,523,4,25.0,121.0
524,524,1,12.0,62.0
525,525,4,58.0,74.0
526,526,2,48.0,102.0
527,527,2,47.0,31.0
528,528,3,47.0,61.0
529,529,0,34.0,50.0
530,530,4,5.0,85.0
531,531,1,38.0,28.0
532,532,0,35.0,81.0
533,533,0,25.0,75.0
534,534,4,10.0,114.0
535,535,0,50.0,72.0
536,536,4,9.0,113.0
537,537,3,27.0,103.0
538,538,1,36.0,108.0
539,539,0,46.0,52.0
540,540,3,47.0,63.0
541,541,1,74.0,0.0
542,542,4,56.0,72.0
543,543,2,35.0,29.0
544,544,3,76.0,8.0
545,545,4,15.0,115.0
546,546,2,58.0,64.0
547,547,1,40.0,78.0
548,548,3,56.0,22.0
549,549,1,22.0,82.0
550,550,2,55.0,77.0
551,551,2,47.0,93.0
552,552,3,21.0,61.0
553,553,3,28.0,92.0
554,554,0,33.0,45.0
555,555,0,26.0,48.0
556,556,3,27.0,93.0
557,557,4,5.0,103.0
558,558,1,43.0,33.0
559,559,3,25.0,97.0
560,560,0,21.0,71.0
561,561,2,28.0,64.0
562,562,3,41.0,57.0
563,563,1,38.0,102.0
564,564,0,58.0,68.0
565,565,2,54.0,74.0
566,566,1,49.0,1.0
567,567,4,63.0,11.0
568,568,3,37.0,105.0
569,569,2,56.0,6.0
570,570,2,38.0,110.0
571,571,0,19.0,87.0
572,572,2,35.0,61.0
573,573,1,35.0,97.0
574,574,1,44.0,40.0
575,575,1,51.0,77.0
576,576,2,31.0,55.0
577,577,2,49.0,33.0
578,578,3,33.0,65.0
579,579,3,61.0,19.0
580,580,0,20.0,82.0
581,581,2,46.0,36.0
582,582,3,21.0,67.0
583,583,2,77.0,5.0
584,584,3,44.0,42.0
585,585,0,49.0,15.0
586,586,2,8.0,94.0
587,587,2,23.0,87.0
588,588,1,39.0,59.0
589,589,0,63.0,1.0
590,590,4,25.0,37.0
591,591,3,43.0,27.0
592,592,4,5.0,83.0
593,593,3,50.0,52.0
594,594,1,40.0,46.0
595,595,2,62.0,14.0
596,596,3,44.0,48.0
597,597,2,38.0,26.0
598,598,0,45.0,47.0
599,599,0,43.0,63.0
600,600,2,23.0,61.0
601,601,2,25.0,57.0
602,602,4,45.0,105.0
603,603,4,23.0,111.0
604,604,1,52.0,76.0
605,605,3,20.0,96.0
606,606,3,63.0,23.0
607,607,1,10.0,94.0
608,608,3,55.0,67.0
609,609,3,16.0,72.0
610,610,3,63.0,41.0
611,611,1,29.0,101.0
612,612,0,26.0,76.0
613,613,2,15.0,57.0
614,614,3,69.0,11.0
615,615,1,26.0,44.0
616,616,2,30.0,108.0
617,617,4,26.0,120.0
618,618,2,22.0,46.0
619,619,3,16.0,58.0
620,620,2,52.0,30.0
621,621,3,63.0,43.0
622,622,3,48.0,88.0
623,623,4,25.0,35.0
624,624,2,16.0,54.0
625,625,3,44.0,50.0
626,626,1,59.0,11.0
627,627,2,27.0,45.0
628,628,1,25.0,65.0
629,629,3,15.0,105.0
630,630,0,43.0,91.0
631,631,1,31.0,75.0
632,632,0,19.0,83.0
633,633,1,13.0,109.0
634,634,1,35.0,71.0
635,635,2,53.0,7.0
636,636,3,36.0,66.0
637,637,0,19.0,79.0
638,638,3,27.0,61.0
639,639,3,64.0,18.0
640,640,1,9.0,93.0
641,641,4,4.0,88.0
642,642,3,61.0,31.0
643,643,1,45.0,91.0
644,644,3,64.0,24.0
645,645,3,69.0,13.0
646,646,1,45.0,85.0
647,647,4,32.0,112.0
648,648,3,46.0,22.0
649,649,0,23.0,57.0
650,650,0,47.0,71.0
651,651,4,65.0,47.0
652,652,3,43.0,59.0
653,653,0,22.0,66.0
654,654,2,23.0,79.0
655,655,2,14.0,66.0
656,656,3,11.0,87.0
