mode,k,scope,n_obs,metric_sample_size,silhouette_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
independent,9,section2,403563,403563,10000,9,0.1297241151332855,28701.57850096257,2.2750755620729644,,
independent,10,section1,665399,665399,10000,10,0.1321820765733719,45129.922254360645,2.190319730406404,,
independent,10,section2,403563,403563,10000,10,0.1292529255151748,27655.783023111297,2.3545890812100616,,
independent,11,section1,665399,665399,10000,11,0.1364821791648864,44121.20858613755,2.123169464364424,,
independent,11,section2,403563,403563,10000,11,0.1239420920610427,26080.481720059463,2.361557358875955,,
independent,12,section1,665399,665399,10000,12,0.1377789378166198,40879.85409486634,2.140783070815916,,
independent,12,section2,403563,403563,10000,12,0.1318260580301284,24711.485680166217,2.2238540652855208,,
independent,13,section1,665399,665399,10000,13,0.131013736128807,39625.41258869345,2.2651286031299245,,
independent,13,section2,403563,403563,10000,13,0.1290166527032852,24678.659181163403,2.0831207822573763,,
independent,14,section1,665399,665399,10000,14,0.1320111900568008,38394.74442616988,2.2482507123449165,,
independent,14,section2,403563,403563,10000,14,0.1272232979536056,23746.863829434693,2.2263349424059653,,
independent,15,section1,665399,665399,10000,15,0.1323565691709518,37890.7582004092,2.13772920423387,,
independent,15,section2,403563,403563,10000,15,0.1220224499702453,22806.53323177536,2.148563553131921,,
independent,16,section1,665399,665399,10000,16,0.1340286433696746,36261.53121753697,2.173735796306431,,
independent,16,section2,403563,403563,10000,16,0.1304842978715896,22335.14387284385,2.14561416944577,,
independent,17,section1,665399,665399,10000,17,0.1284021437168121,34701.841170057334,2.1842246938035546,,
independent,17,section2,403563,403563,10000,17,0.1331210881471634,22171.811229413837,2.1335185469750284,,
independent,18,section1,665399,665399,10000,18,0.1186994239687919,33700.980584751145,2.1967643155092955,,
independent,18,section2,403563,403563,10000,18,0.1366832703351974,21389.36839445164,2.0518349862236867,,
independent,19,section1,665399,665399,10000,19,0.1258323788642883,33073.43982860313,2.124577161935005,,
independent,19,section2,403563,403563,10000,19,0.1326214373111724,20835.04721099643,2.001309990337342,,
independent,20,section1,665399,665399,10000,20,0.1242434605956077,32592.108057712536,2.0635927862831025,,
independent,20,section2,403563,403563,10000,20,0.1290348470211029,20262.152496035666,2.1144102282289063,,
