mode,scope,label,n_obs_labeled,n_label_classes,k,ari_raw,nmi_raw,homogeneity_raw,completeness_raw,v_measure_raw,label_asw_raw,label_asw_scaled_raw,ari_standardized,nmi_standardized,homogeneity_standardized,completeness_standardized,v_measure_standardized,label_asw_standardized,label_asw_scaled_standardized,ari_delta_standardized_minus_raw,nmi_delta_standardized_minus_raw,homogeneity_delta_standardized_minus_raw,completeness_delta_standardized_minus_raw,v_measure_delta_standardized_minus_raw,label_asw_delta_standardized_minus_raw,label_asw_scaled_delta_standardized_minus_raw
joint,combined,Y,7118,14,8,0.2569486638899778,0.3677861449382418,0.3492264199346235,0.3884293177005273,0.3677861449382418,-0.0092484056949615,0.4953757971525192,0.2533373192050731,0.3560323331827546,0.3349062605713717,0.3800031420847432,0.3560323331827545,-0.0090166302397847,0.4954916848801076,-0.003611344684904705,-0.011753811755487176,-0.014320159363251816,-0.008426175615784126,-0.011753811755487287,0.00023177545517679907,0.00011588772758835963
joint,combined,Combined_Clusters_annotation,7118,16,8,0.2390587791328488,0.3966499447116927,0.3836577079016115,0.4105529662076641,0.3966499447116927,0.0060568726621568,0.5030284363310784,0.2554566690069587,0.4012226584027897,0.3843798745804717,0.4196091197151818,0.4012226584027896,0.0076382127590477,0.5038191063795239,0.016397889874109894,0.004572713691097019,0.0007221666788601588,0.00905615350751765,0.004572713691096908,0.0015813400968908995,0.0007906700484454632
joint,combined,Combined_Clusters,7118,16,8,0.2390587791328488,0.3966499447116927,0.3836577079016115,0.4105529662076642,0.3966499447116927,0.0060568726621568,0.5030284363310784,0.2554566690069587,0.4012226584027897,0.3843798745804717,0.4196091197151818,0.4012226584027897,0.0076382127590477,0.5038191063795239,0.016397889874109894,0.004572713691097019,0.0007221666788601588,0.009056153507517595,0.004572713691097019,0.0015813400968908995,0.0007906700484454632
joint,combined,RNA_Clusters,7118,13,8,0.2879610695554058,0.4249389333830998,0.406412546743646,0.445235050614758,0.4249389333830998,0.0287821721285581,0.5143910860642791,0.3027138129472948,0.4265518570997075,0.404112054090498,0.4516302839945445,0.4265518570997075,0.0280051548033952,0.5140025774016976,0.014752743391889034,0.001612923716607706,-0.002300492653148023,0.006395233379786536,0.001612923716607706,-0.0007770173251629015,-0.0003885086625814438
joint,combined,ATAC_Clusters,7118,13,8,0.2265734637526136,0.3797584049046599,0.3789757724440301,0.380544276522766,0.3797584049046599,0.02574940957129,0.512874704785645,0.2489379550932656,0.3881598796383032,0.3835444580367494,0.3928877345163378,0.3881598796383032,0.0270990096032619,0.513549504801631,0.022364491340651993,0.008401474733643277,0.004568685592719335,0.012343457993571783,0.008401474733643277,0.0013496000319719002,0.0006748000159859657
joint,combined,Y,7118,14,9,0.2608900475415946,0.36575152139707,0.3551065587199813,0.3770544107150287,0.36575152139707,-0.0092484056949615,0.4953757971525192,0.2688214114730425,0.3664742818343853,0.351524506726311,0.3827521172796539,0.3664742818343853,-0.0090166302397847,0.4954916848801076,0.007931363931447888,0.0007227604373152841,-0.0035820519936702877,0.0056977065646252045,0.0007227604373152841,0.00023177545517679907,0.00011588772758835963
joint,combined,Combined_Clusters_annotation,7118,16,9,0.243634534760147,0.3985706501677168,0.3943639256341105,0.4028680895785662,0.3985706501677169,0.0060568726621568,0.5030284363310784,0.2595796530922407,0.4112166008954557,0.4018802754889784,0.4209970394876146,0.4112166008954556,0.0076382127590477,0.5038191063795239,0.015945118332093694,0.012645950727738886,0.007516349854867932,0.018128949909048397,0.012645950727738664,0.0015813400968908995,0.0007906700484454632
joint,combined,Combined_Clusters,7118,16,9,0.243634534760147,0.3985706501677168,0.3943639256341105,0.4028680895785662,0.3985706501677169,0.0060568726621568,0.5030284363310784,0.2595796530922407,0.4112166008954557,0.4018802754889785,0.4209970394876147,0.4112166008954557,0.0076382127590477,0.5038191063795239,0.015945118332093694,0.012645950727738886,0.0075163498548679875,0.01812894990904851,0.012645950727738775,0.0015813400968908995,0.0007906700484454632
joint,combined,RNA_Clusters,7118,13,9,0.2912422813028144,0.4239528965572668,0.4146630074700715,0.4336685762819699,0.4239528965572668,0.0287821721285581,0.5143910860642791,0.2840768285566281,0.4165571871879466,0.4024857873809155,0.4316481387874132,0.4165571871879467,0.0280051548033952,0.5140025774016976,-0.007165452746186296,-0.007395709369320214,-0.012177220089156005,-0.002020437494556715,-0.007395709369320103,-0.0007770173251629015,-0.0003885086625814438
joint,combined,ATAC_Clusters,7118,13,9,0.2296960114069415,0.3838201741159042,0.3921098842486757,0.3758737175480696,0.3838201741159042,0.02574940957129,0.512874704785645,0.2475282690919193,0.382856261324454,0.3861680234688524,0.3796008192711424,0.3828562613244541,0.0270990096032619,0.513549504801631,0.017832257684977787,-0.0009639127914501944,-0.005941860779823338,0.0037271017230728343,-0.0009639127914500834,0.0013496000319719002,0.0006748000159859657
joint,combined,Y,7118,14,10,0.2721846452194176,0.384057551332588,0.3802218735589718,0.3879714063834145,0.384057551332588,-0.0092484056949615,0.4953757971525192,0.2768150059335296,0.3819891397419857,0.3736365480043578,0.3907237126071097,0.3819891397419858,-0.0090166302397847,0.4954916848801076,0.004630360714111992,-0.002068411590602337,-0.006585325554613997,0.002752306223695211,-0.002068411590602226,0.00023177545517679907,0.00011588772758835963
joint,combined,Combined_Clusters_annotation,7118,16,10,0.2578382756830025,0.4211938524912834,0.4251175496257562,0.4173419218795836,0.4211938524912834,0.0060568726621568,0.5030284363310784,0.2717062715188812,0.4326408888656328,0.4313295202277534,0.433960255713346,0.4326408888656327,0.0076382127590477,0.5038191063795239,0.013867995835878721,0.011447036374349406,0.006211970601997185,0.016618333833762433,0.011447036374349295,0.0015813400968908995,0.0007906700484454632
joint,combined,Combined_Clusters,7118,16,10,0.2578382756830025,0.4211938524912834,0.4251175496257562,0.4173419218795836,0.4211938524912834,0.0060568726621568,0.5030284363310784,0.2717062715188812,0.4326408888656328,0.4313295202277534,0.433960255713346,0.4326408888656328,0.0076382127590477,0.5038191063795239,0.013867995835878721,0.011447036374349406,0.006211970601997185,0.016618333833762433,0.011447036374349406,0.0015813400968908995,0.0007906700484454632
joint,combined,RNA_Clusters,7118,13,10,0.3067019025490189,0.4469251855859493,0.4458063205521359,0.4480496809066005,0.4469251855859493,0.0287821721285581,0.5143910860642791,0.2984240850248899,0.4399247249342089,0.4335177973055243,0.4465238683295879,0.439924724934209,0.0280051548033952,0.5140025774016976,-0.008277817524129039,-0.00700046065174037,-0.012288523246611616,-0.0015258125770126196,-0.0070004606517403145,-0.0007770173251629015,-0.0003885086625814438
joint,combined,ATAC_Clusters,7118,13,10,0.2446375261874754,0.4068953961028259,0.4242996902697349,0.3908626515081247,0.4068953961028258,0.02574940957129,0.512874704785645,0.2606157229045775,0.4056887650061171,0.4177034713343176,0.3943459090936385,0.4056887650061171,0.0270990096032619,0.513549504801631,0.015978196717102128,-0.0012066310967087657,-0.006596218935417286,0.003483257585513766,-0.0012066310967087102,0.0013496000319719002,0.0006748000159859657
joint,combined,Y,7118,14,11,0.2793969339117583,0.3962514437958565,0.399746869696242,0.3928166167084353,0.3962514437958566,-0.0092484056949615,0.4953757971525192,0.2777527914909601,0.3966657821970072,0.3981397209549322,0.3952027164180676,0.3966657821970073,-0.0090166302397847,0.4954916848801076,-0.0016441424207981892,0.00041433840115073783,-0.001607148741309794,0.0023860997096322722,0.00041433840115073783,0.00023177545517679907,0.00011588772758835963
joint,combined,Combined_Clusters_annotation,7118,16,11,0.2648163020005153,0.4422135189915429,0.4549780349986578,0.4301456805415394,0.4422135189915429,0.0060568726621568,0.5030284363310784,0.2660856385899909,0.4401156668701619,0.4504841424203816,0.4302137408459442,0.4401156668701618,0.0076382127590477,0.5038191063795239,0.0012693365894755892,-0.002097852121380972,-0.004493892578276204,6.806030440481559e-05,-0.002097852121381083,0.0015813400968908995,0.0007906700484454632
joint,combined,Combined_Clusters,7118,16,11,0.2648163020005153,0.4422135189915427,0.4549780349986577,0.4301456805415393,0.4422135189915427,0.0060568726621568,0.5030284363310784,0.2660856385899909,0.4401156668701619,0.4504841424203817,0.4302137408459442,0.440115666870162,0.0076382127590477,0.5038191063795239,0.0012693365894755892,-0.0020978521213808055,-0.004493892578275982,6.806030440492661e-05,-0.0020978521213806944,0.0015813400968908995,0.0007906700484454632
joint,combined,RNA_Clusters,7118,13,11,0.3109339282058196,0.4629406704376764,0.4706219029495317,0.4555061489696207,0.4629406704376764,0.0287821721285581,0.5143910860642791,0.3030652217408071,0.4498261962682154,0.4549582077978689,0.4448086733376848,0.4498261962682154,0.0280051548033952,0.5140025774016976,-0.007868706465012532,-0.013114474169460988,-0.015663695151662826,-0.010697475631935904,-0.013114474169460988,-0.0007770173251629015,-0.0003885086625814438
joint,combined,ATAC_Clusters,7118,13,11,0.2570940907431303,0.4313594544164776,0.4587969404135037,0.407018481528959,0.4313594544164776,0.02574940957129,0.512874704785645,0.2498642810046751,0.4202696407302935,0.444625060988685,0.3984439056920013,0.4202696407302935,0.0270990096032619,0.513549504801631,-0.00722980973845519,-0.011089813686184113,-0.014171879424818734,-0.008574575836957699,-0.011089813686184113,0.0013496000319719002,0.0006748000159859657
