mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
joint,combined,annotations,7866,11,12,0.2992685166398188,0.548945649565139,0.6220520174448222,0.4912157516738448,0.548945649565139,0.0999627262353897,0.5499813631176949,"0,1,2,3,4"
joint,combined,celltype,5046,11,12,0.3087614045439266,0.5521453350468467,0.6168339920596754,0.4997368930842978,0.5521453350468466,0.0976425483822822,0.5488212741911411,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,12,0.314637635833935,0.5637564307508041,0.6914814496356326,0.47585941878734,0.5637564307508041,0.1138655170798301,0.5569327585399151,"0,1,2,3,4"
joint,combined,Y,7866,12,12,0.19259046103869,0.4152055167351722,0.4498431216628369,0.3855206936594017,0.4152055167351722,0.0024914017412811,0.5012457008706406,"0,1,2,3,4"
independent,s1,RegionLoupe,2384,9,5,0.8333194342457023,0.753615088104145,0.706213896153259,0.807837256590646,0.753615088104145,0.110919289290905,0.5554596446454525,"0,1,2,3,4"
independent,s1,annotations,2384,11,5,0.7442937033069124,0.7024436655940433,0.6196934997584184,0.8106996511808751,0.7024436655940433,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s1,celltype,2384,11,5,0.7442937033069124,0.7024436655940433,0.6196934997584184,0.8106996511808751,0.7024436655940433,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s1,Y.l1,2384,9,5,0.8333194342457023,0.753615088104145,0.706213896153259,0.807837256590646,0.753615088104145,0.110919289290905,0.5554596446454525,"0,1,2,3,4"
independent,s1,Y,2384,11,5,0.7442937033069124,0.7024436655940433,0.6196934997584184,0.8106996511808751,0.7024436655940433,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s2,RegionLoupe,2820,9,5,0.4945133540054623,0.6248466160032697,0.6058532992365078,0.6450693438478987,0.6248466160032697,0.1206285953521728,0.5603142976760864,"2384,2385,2386,2387,2388"
independent,s2,annotations,2820,11,5,0.3946432084766811,0.5830214637896779,0.531701637450395,0.6453064204256406,0.583021463789678,0.1083085760474205,0.5541542880237103,"2384,2385,2386,2387,2388"
independent,s2,Y.l1,2820,9,5,0.4945133540054623,0.6248466160032697,0.6058532992365078,0.6450693438478987,0.6248466160032697,0.1206285953521728,0.5603142976760864,"2384,2385,2386,2387,2388"
independent,s2,Y,2820,11,5,0.3946432084766811,0.5830214637896781,0.5317016374503951,0.6453064204256407,0.5830214637896781,0.1083085760474205,0.5541542880237103,"2384,2385,2386,2387,2388"
independent,s3,RegionLoupe,2662,9,5,0.7145828590598508,0.6554438502712244,0.6182664468854706,0.697378387999704,0.6554438502712244,0.1112280115485191,0.5556140057742596,"5204,5205,5206,5207,5208"
independent,s3,annotations,2662,11,5,0.6433036806914414,0.6096856491594865,0.5378702238278712,0.7036334732227598,0.6096856491594865,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s3,celltype,2662,11,5,0.6433036806914414,0.6096856491594865,0.5378702238278712,0.7036334732227598,0.6096856491594865,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
