mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,calinski_harabasz,davies_bouldin,section_ari,section_nmi,section_asw,metric_space,labels_path
independent,s3,5,2662,128,0.1789511740207672,0.5894755870103836,372.23260751970673,1.9868625079845366,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_s3.csv
independent,s1,6,2384,128,0.1914537400007248,0.5957268700003624,309.7557991597505,1.8842661003345569,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_s1.csv
independent,s2,6,2820,128,0.15831094980239868,0.5791554749011993,376.6755572362742,2.0337752701210072,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_s2.csv
independent,s3,6,2662,128,0.1577240526676178,0.5788620263338089,344.5083724616785,2.073476877746929,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_s3.csv
independent,s1,8,2384,128,0.1575082391500473,0.5787541195750237,270.8034644338138,2.119198858441341,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_s1.csv
independent,s2,8,2820,128,0.17015396058559418,0.5850769802927971,330.90452513932007,2.0203107031498218,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_s2.csv
independent,s3,8,2662,128,0.15494340658187866,0.5774717032909393,296.0799929554243,2.0792640228132635,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_s3.csv
independent,s1,10,2384,128,0.15700118243694305,0.5785005912184715,243.09196704880873,2.0519963747346166,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_s1.csv
independent,s2,10,2820,128,0.15462227165699005,0.577311135828495,291.7484107769928,2.0811204870724964,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_s2.csv
independent,s3,10,2662,128,0.1489916294813156,0.5744958147406578,266.17801946361084,2.060599529215748,,,,raw_embedding,/home/hujinlan/spa_mo_model/results/mousebrain_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_s3.csv
