section,obs_name,cluster,x,y
CRC_006_bin20,70007966938360,14,531.0,512.0
CRC_006_bin20,72069551234340,4,555.0,207.0
CRC_006_bin20,74302934237580,0,581.0,673.0
CRC_006_bin20,40544491292220,11,188.0,733.0
CRC_006_bin20,66056597022060,4,485.0,313.0
CRC_006_bin20,34531537076880,8,118.0,686.0
CRC_006_bin20,49735721302140,2,295.0,557.0
CRC_006_bin20,79886391715440,1,646.0,326.0
CRC_006_bin20,44409961849340,13,233.0,269.0
CRC_006_bin20,47072841583800,13,264.0,816.0
CRC_006_bin20,52999896453420,12,333.0,873.0
CRC_006_bin20,62362925143660,5,442.0,121.0
CRC_006_bin20,58583353928840,8,398.0,404.0
CRC_006_bin20,67087389167740,8,497.0,45.0
CRC_006_bin20,45097156625520,10,241.0,710.0
CRC_006_bin20,62792421879940,0,447.0,455.0
CRC_006_bin20,59528246739320,11,409.0,672.0
CRC_006_bin20,87016037422120,8,729.0,92.0
CRC_006_bin20,63565515987720,5,456.0,180.0
CRC_006_bin20,52055003644700,2,322.0,693.0
CRC_006_bin20,87789131537020,12,738.0,173.0
CRC_006_bin20,47760036350220,13,272.0,769.0
CRC_006_bin20,37881611564440,10,157.0,520.0
CRC_006_bin20,37538014179360,2,153.0,450.0
CRC_006_bin20,38654705674800,4,166.0,374.0
CRC_006_bin20,53171695140760,7,335.0,648.0
CRC_006_bin20,71811853200580,14,552.0,407.0
CRC_006_bin20,53601191870120,7,340.0,636.0
CRC_006_bin20,67087389169940,1,497.0,155.0
CRC_006_bin20,43808666432840,5,226.0,516.0
CRC_006_bin20,67860483292020,9,506.0,595.0
CRC_006_bin20,43379169705680,6,221.0,638.0
CRC_006_bin20,77910706758640,4,623.0,294.0
CRC_006_bin20,54717883362200,4,353.0,392.0
CRC_006_bin20,87789131535060,14,738.0,75.0
CRC_006_bin20,42863773621040,1,215.0,182.0
CRC_006_bin20,36764920072260,5,144.0,759.0
CRC_006_bin20,72413148618140,4,559.0,213.0
CRC_006_bin20,40200893908300,13,184.0,721.0
CRC_006_bin20,36593121375940,3,142.0,535.0
CRC_006_bin20,77653008717320,3,620.0,116.0
CRC_006_bin20,33672543606640,12,108.0,134.0
CRC_006_bin20,65712999636880,2,481.0,238.0
CRC_006_bin20,70523363013140,14,537.0,475.0
CRC_006_bin20,71210557781920,0,545.0,546.0
CRC_006_bin20,64424509454640,9,466.0,566.0
CRC_006_bin20,40114994549380,13,183.0,71.0
CRC_006_bin20,71640054504820,4,550.0,211.0
CRC_006_bin20,47502338313040,11,269.0,798.0
CRC_006_bin20,41747082127740,5,202.0,365.0
CRC_006_bin20,71811853195540,2,552.0,155.0
CRC_006_bin20,75935021803280,1,600.0,334.0
CRC_006_bin20,64682207495900,10,469.0,741.0
CRC_006_bin20,74131135539960,14,579.0,384.0
CRC_006_bin20,73959336843360,13,577.0,146.0
CRC_006_bin20,65712999645960,0,481.0,692.0
CRC_006_bin20,50165218030040,6,300.0,472.0
CRC_006_bin20,64510408793400,1,467.0,208.0
CRC_006_bin20,76708115911900,13,609.0,101.0
CRC_006_bin20,47931835037520,6,274.0,542.0
CRC_006_bin20,54975581400820,4,356.0,435.0
CRC_006_bin20,81432579938100,11,664.0,131.0
CRC_006_bin20,33930241650340,10,111.0,431.0
CRC_006_bin20,49306224569640,4,290.0,412.0
CRC_006_bin20,41145786701060,10,195.0,103.0
CRC_006_bin20,28604482207520,12,49.0,642.0
CRC_006_bin20,32727650815400,12,97.0,828.0
CRC_006_bin20,65025804874820,0,473.0,503.0
CRC_006_bin20,44667659889540,3,236.0,391.0
CRC_006_bin20,51797305607540,6,319.0,723.0
CRC_006_bin20,27917287438300,12,41.0,549.0
CRC_006_bin20,54460185323520,13,350.0,346.0
CRC_006_bin20,44409961852340,10,233.0,419.0
CRC_006_bin20,64080912062480,5,462.0,142.0
CRC_006_bin20,44581760537340,8,235.0,77.0
CRC_006_bin20,38998303064200,10,170.0,660.0
CRC_006_bin20,72670846661300,4,562.0,483.0
CRC_006_bin20,46815143542560,11,261.0,642.0
CRC_006_bin20,40286793241620,13,185.0,91.0
CRC_006_bin20,41747082122260,1,202.0,91.0
CRC_006_bin20,24996709677800,12,7.0,588.0
CRC_006_bin20,67259187870840,0,499.0,608.0
CRC_006_bin20,54889682056680,7,355.0,524.0
CRC_006_bin20,41317585394680,6,197.0,192.0
CRC_006_bin20,61074434960920,14,427.0,424.0
CRC_006_bin20,72928544700420,0,565.0,551.0
CRC_006_bin20,60902636261640,12,425.0,52.0
CRC_006_bin20,34961033801720,8,123.0,448.0
CRC_006_bin20,48189533068240,10,277.0,190.0
CRC_006_bin20,82291573397700,1,674.0,151.0
CRC_006_bin20,50680614112940,5,306.0,841.0
CRC_006_bin20,72069551243340,0,555.0,657.0
CRC_006_bin20,45097156622000,2,241.0,534.0
CRC_006_bin20,85641647887700,0,713.0,107.0
CRC_006_bin20,80487687137980,9,653.0,381.0
CRC_006_bin20,60301340849180,0,418.0,501.0
CRC_006_bin20,56693568319460,6,376.0,447.0
CRC_006_bin20,35734127915960,1,132.0,496.0
CRC_006_bin20,44753559230940,14,237.0,165.0
CRC_006_bin20,63737314680660,13,458.0,235.0
CRC_006_bin20,65884798337720,1,483.0,688.0
CRC_006_bin20,49306224578440,2,290.0,852.0
CRC_006_bin20,34961033803540,6,123.0,539.0
CRC_006_bin20,75333726378520,3,593.0,168.0
CRC_006_bin20,29892972395060,8,64.0,579.0
CRC_006_bin20,56006373559040,13,368.0,794.0
CRC_006_bin20,80487687130700,14,653.0,17.0
CRC_006_bin20,53343493825900,10,337.0,313.0
CRC_006_bin20,51281909533380,3,313.0,791.0
CRC_006_bin20,61246233650940,3,429.0,333.0
CRC_006_bin20,53171695133720,2,335.0,296.0
CRC_006_bin20,51453708224260,6,315.0,743.0
CRC_006_bin20,47416438957780,2,268.0,331.0
CRC_006_bin20,65369402260320,0,477.0,594.0
CRC_006_bin20,46557445499520,13,258.0,378.0
CRC_006_bin20,30408368471220,11,70.0,611.0
CRC_006_bin20,48103633734760,13,276.0,812.0
CRC_006_bin20,35820027265020,5,133.0,653.0
CRC_006_bin20,42863773624660,8,215.0,363.0
CRC_006_bin20,52484500369720,10,327.0,464.0
CRC_006_bin20,41918880820100,3,204.0,391.0
CRC_006_bin20,50508815419320,3,304.0,752.0
CRC_006_bin20,56521769623520,13,374.0,242.0
CRC_006_bin20,58497454581500,10,397.0,333.0
CRC_006_bin20,64252710767800,8,464.0,816.0
CRC_006_bin20,50680614097780,8,306.0,83.0
CRC_006_bin20,48103633726880,10,276.0,418.0
CRC_006_bin20,66314295066280,0,488.0,636.0
CRC_006_bin20,72069551238360,14,555.0,408.0
CRC_006_bin20,54631984014460,6,352.0,301.0
CRC_006_bin20,77996606105340,11,624.0,333.0
CRC_006_bin20,62191126452720,11,440.0,166.0
CRC_006_bin20,49048526535560,6,287.0,596.0
CRC_006_bin20,50938312148540,3,309.0,733.0
CRC_006_bin20,59442347387020,2,408.0,353.0
CRC_006_bin20,90709709298120,8,772.0,164.0
CRC_006_bin20,40458591947560,3,187.0,796.0
CRC_006_bin20,42090679520500,3,206.0,819.0
CRC_006_bin20,44839458582400,3,238.0,442.0
CRC_006_bin20,73186242733140,4,568.0,299.0
CRC_006_bin20,82205674049600,10,673.0,42.0
CRC_006_bin20,60301340851980,2,418.0,641.0
CRC_006_bin20,49735721297360,3,295.0,318.0
CRC_006_bin20,49649821961520,13,294.0,822.0
CRC_006_bin20,26285199865780,5,22.0,547.0
CRC_006_bin20,51969104287620,8,321.0,135.0
CRC_006_bin20,63221918601240,12,452.0,40.0
CRC_006_bin20,69148973482940,14,521.0,701.0
CRC_006_bin20,45183055969800,2,242.0,628.0
CRC_006_bin20,49478023270820,5,292.0,879.0
CRC_006_bin20,31954556695860,12,88.0,515.0
CRC_006_bin20,34961033802560,2,123.0,490.0
CRC_006_bin20,71382356472380,4,547.0,477.0
