sample_order,section,obs_name,section_n_total,section_n_sampled,sampling_seed
162,Mouse_Thymus1,14_12,4697,2635,0
163,Mouse_Thymus1,14_13,4697,2635,0
164,Mouse_Thymus1,14_15,4697,2635,0
165,Mouse_Thymus1,14_16,4697,2635,0
166,Mouse_Thymus1,14_20,4697,2635,0
167,Mouse_Thymus1,14_21,4697,2635,0
168,Mouse_Thymus1,14_22,4697,2635,0
169,Mouse_Thymus1,14_24,4697,2635,0
170,Mouse_Thymus1,14_26,4697,2635,0
171,Mouse_Thymus1,14_28,4697,2635,0
172,Mouse_Thymus1,14_30,4697,2635,0
173,Mouse_Thymus1,14_31,4697,2635,0
174,Mouse_Thymus1,14_33,4697,2635,0
175,Mouse_Thymus1,14_34,4697,2635,0
176,Mouse_Thymus1,14_35,4697,2635,0
177,Mouse_Thymus1,14_36,4697,2635,0
178,Mouse_Thymus1,14_37,4697,2635,0
179,Mouse_Thymus1,14_39,4697,2635,0
180,Mouse_Thymus1,14_41,4697,2635,0
181,Mouse_Thymus1,14_43,4697,2635,0
182,Mouse_Thymus1,14_45,4697,2635,0
183,Mouse_Thymus1,14_47,4697,2635,0
184,Mouse_Thymus1,14_48,4697,2635,0
185,Mouse_Thymus1,14_50,4697,2635,0
186,Mouse_Thymus1,14_51,4697,2635,0
187,Mouse_Thymus1,14_52,4697,2635,0
188,Mouse_Thymus1,14_55,4697,2635,0
189,Mouse_Thymus1,14_60,4697,2635,0
190,Mouse_Thymus1,14_68,4697,2635,0
191,Mouse_Thymus1,14_69,4697,2635,0
192,Mouse_Thymus1,14_7,4697,2635,0
193,Mouse_Thymus1,14_70,4697,2635,0
194,Mouse_Thymus1,14_71,4697,2635,0
195,Mouse_Thymus1,14_72,4697,2635,0
196,Mouse_Thymus1,14_74,4697,2635,0
197,Mouse_Thymus1,14_76,4697,2635,0
198,Mouse_Thymus1,14_8,4697,2635,0
199,Mouse_Thymus1,15_10,4697,2635,0
200,Mouse_Thymus1,15_12,4697,2635,0
201,Mouse_Thymus1,15_13,4697,2635,0
202,Mouse_Thymus1,15_14,4697,2635,0
203,Mouse_Thymus1,15_16,4697,2635,0
204,Mouse_Thymus1,15_18,4697,2635,0
205,Mouse_Thymus1,15_22,4697,2635,0
206,Mouse_Thymus1,15_23,4697,2635,0
207,Mouse_Thymus1,15_24,4697,2635,0
208,Mouse_Thymus1,15_26,4697,2635,0
209,Mouse_Thymus1,15_29,4697,2635,0
210,Mouse_Thymus1,15_32,4697,2635,0
211,Mouse_Thymus1,15_36,4697,2635,0
212,Mouse_Thymus1,15_38,4697,2635,0
213,Mouse_Thymus1,15_4,4697,2635,0
214,Mouse_Thymus1,15_42,4697,2635,0
215,Mouse_Thymus1,15_44,4697,2635,0
216,Mouse_Thymus1,15_45,4697,2635,0
217,Mouse_Thymus1,15_46,4697,2635,0
218,Mouse_Thymus1,15_48,4697,2635,0
219,Mouse_Thymus1,15_5,4697,2635,0
220,Mouse_Thymus1,15_50,4697,2635,0
221,Mouse_Thymus1,15_52,4697,2635,0
222,Mouse_Thymus1,15_53,4697,2635,0
223,Mouse_Thymus1,15_54,4697,2635,0
224,Mouse_Thymus1,15_59,4697,2635,0
225,Mouse_Thymus1,15_6,4697,2635,0
226,Mouse_Thymus1,15_61,4697,2635,0
227,Mouse_Thymus1,15_63,4697,2635,0
228,Mouse_Thymus1,15_64,4697,2635,0
229,Mouse_Thymus1,15_66,4697,2635,0
230,Mouse_Thymus1,15_67,4697,2635,0
231,Mouse_Thymus1,15_69,4697,2635,0
232,Mouse_Thymus1,15_70,4697,2635,0
233,Mouse_Thymus1,15_74,4697,2635,0
234,Mouse_Thymus1,15_76,4697,2635,0
235,Mouse_Thymus1,15_8,4697,2635,0
236,Mouse_Thymus1,16_1,4697,2635,0
237,Mouse_Thymus1,16_13,4697,2635,0
238,Mouse_Thymus1,16_14,4697,2635,0
239,Mouse_Thymus1,16_16,4697,2635,0
240,Mouse_Thymus1,16_17,4697,2635,0
241,Mouse_Thymus1,16_19,4697,2635,0
242,Mouse_Thymus1,16_2,4697,2635,0
243,Mouse_Thymus1,16_20,4697,2635,0
244,Mouse_Thymus1,16_21,4697,2635,0
245,Mouse_Thymus1,16_22,4697,2635,0
246,Mouse_Thymus1,16_23,4697,2635,0
247,Mouse_Thymus1,16_3,4697,2635,0
248,Mouse_Thymus1,16_30,4697,2635,0
249,Mouse_Thymus1,16_31,4697,2635,0
250,Mouse_Thymus1,16_32,4697,2635,0
251,Mouse_Thymus1,16_33,4697,2635,0
252,Mouse_Thymus1,16_36,4697,2635,0
253,Mouse_Thymus1,16_38,4697,2635,0
254,Mouse_Thymus1,16_4,4697,2635,0
255,Mouse_Thymus1,16_41,4697,2635,0
256,Mouse_Thymus1,16_42,4697,2635,0
257,Mouse_Thymus1,16_43,4697,2635,0
258,Mouse_Thymus1,16_44,4697,2635,0
259,Mouse_Thymus1,16_45,4697,2635,0
260,Mouse_Thymus1,16_48,4697,2635,0
261,Mouse_Thymus1,16_5,4697,2635,0
262,Mouse_Thymus1,16_50,4697,2635,0
263,Mouse_Thymus1,16_51,4697,2635,0
264,Mouse_Thymus1,16_53,4697,2635,0
265,Mouse_Thymus1,16_55,4697,2635,0
266,Mouse_Thymus1,16_57,4697,2635,0
267,Mouse_Thymus1,16_59,4697,2635,0
268,Mouse_Thymus1,16_63,4697,2635,0
269,Mouse_Thymus1,16_64,4697,2635,0
270,Mouse_Thymus1,16_65,4697,2635,0
271,Mouse_Thymus1,16_66,4697,2635,0
272,Mouse_Thymus1,16_67,4697,2635,0
273,Mouse_Thymus1,16_68,4697,2635,0
274,Mouse_Thymus1,16_7,4697,2635,0
275,Mouse_Thymus1,16_70,4697,2635,0
276,Mouse_Thymus1,16_71,4697,2635,0
277,Mouse_Thymus1,16_72,4697,2635,0
278,Mouse_Thymus1,16_74,4697,2635,0
279,Mouse_Thymus1,16_77,4697,2635,0
280,Mouse_Thymus1,16_79,4697,2635,0
281,Mouse_Thymus1,16_8,4697,2635,0
282,Mouse_Thymus1,16_80,4697,2635,0
283,Mouse_Thymus1,17_10,4697,2635,0
284,Mouse_Thymus1,17_11,4697,2635,0
285,Mouse_Thymus1,17_13,4697,2635,0
286,Mouse_Thymus1,17_17,4697,2635,0
