mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
joint,combined,Y,7866,12,6,0.3185589474129658,0.4636614603159023,0.423194201398672,0.5126862513141336,0.4636614603159023,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,7,0.5728640785296396,0.642465761672575,0.671264134660711,0.6160367379288346,0.642465761672575,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,7,0.4768527815643597,0.6021688275202413,0.5869933036817628,0.6181498405613652,0.6021688275202413,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,7,0.4684881641910205,0.5963657842175437,0.5747359597577244,0.6196873248826464,0.5963657842175436,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,7,0.5728640785296396,0.642465761672575,0.671264134660711,0.6160367379288346,0.642465761672575,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,7,0.311573871456859,0.4675377252999935,0.4383120506827847,0.500939242021971,0.4675377252999934,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,8,0.4782020463478534,0.616655495218815,0.6731634056017374,0.5688998651185165,0.616655495218815,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,8,0.3655751326053956,0.5796168555233245,0.5886549685206841,0.570852085112918,0.5796168555233245,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,8,0.3681361906631124,0.5754462196796815,0.5757629795062059,0.5751298081965577,0.5754462196796815,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,8,0.4782020463478534,0.616655495218815,0.6731634056017374,0.5688998651185165,0.616655495218815,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
