section,obs_name,cluster,x,y
Mouse_Thymus4,64_29,2,16586.0,10700.0
Mouse_Thymus4,44_18,5,14586.0,9600.0
Mouse_Thymus4,58_88,2,15986.0,16600.0
Mouse_Thymus4,53_20,6,15486.0,9800.0
Mouse_Thymus4,21_57,6,12286.0,13500.0
Mouse_Thymus4,53_5,0,15486.0,8300.0
Mouse_Thymus4,33_37,6,13486.0,11500.0
Mouse_Thymus4,40_36,1,14186.0,11400.0
Mouse_Thymus4,62_5,5,16386.0,8300.0
Mouse_Thymus4,31_77,5,13286.0,15500.0
Mouse_Thymus4,42_15,3,14386.0,9300.0
Mouse_Thymus4,25_68,3,12686.0,14600.0
Mouse_Thymus4,18_34,6,11986.0,11200.0
Mouse_Thymus4,46_77,0,14786.0,15500.0
Mouse_Thymus4,37_54,6,13886.0,13200.0
Mouse_Thymus4,60_22,7,16186.0,10000.0
Mouse_Thymus4,36_90,5,13786.0,16800.0
Mouse_Thymus4,36_80,2,13786.0,15800.0
Mouse_Thymus4,29_49,3,13086.0,12700.0
Mouse_Thymus4,50_112,3,15186.0,19000.0
Mouse_Thymus4,57_4,2,15886.0,8200.0
Mouse_Thymus4,41_48,5,14286.0,12600.0
Mouse_Thymus4,17_72,6,11886.0,15000.0
Mouse_Thymus4,48_18,4,14986.0,9600.0
Mouse_Thymus4,14_66,2,11586.0,14400.0
Mouse_Thymus4,35_21,5,13686.0,9900.0
Mouse_Thymus4,16_32,6,11786.0,11000.0
Mouse_Thymus4,28_39,3,12986.0,11700.0
Mouse_Thymus4,53_14,6,15486.0,9200.0
Mouse_Thymus4,37_61,2,13886.0,13900.0
Mouse_Thymus4,32_42,5,13386.0,12000.0
Mouse_Thymus4,33_30,6,13486.0,10800.0
Mouse_Thymus4,22_74,3,12386.0,15200.0
Mouse_Thymus4,50_85,3,15186.0,16300.0
Mouse_Thymus4,50_43,1,15186.0,12100.0
Mouse_Thymus4,12_30,7,11386.0,10800.0
Mouse_Thymus4,49_91,3,15086.0,16900.0
Mouse_Thymus4,40_16,5,14186.0,9400.0
Mouse_Thymus4,13_48,6,11486.0,12600.0
Mouse_Thymus4,50_20,6,15186.0,9800.0
Mouse_Thymus4,34_74,4,13586.0,15200.0
Mouse_Thymus4,30_69,3,13186.0,14700.0
Mouse_Thymus4,14_63,5,11586.0,14100.0
Mouse_Thymus4,47_26,2,14886.0,10400.0
Mouse_Thymus4,40_19,3,14186.0,9700.0
Mouse_Thymus4,27_30,3,12886.0,10800.0
Mouse_Thymus4,58_17,6,15986.0,9500.0
Mouse_Thymus4,11_41,6,11286.0,11900.0
Mouse_Thymus4,22_49,3,12386.0,12700.0
Mouse_Thymus4,35_67,2,13686.0,14500.0
Mouse_Thymus4,46_85,3,14786.0,16300.0
Mouse_Thymus4,42_44,6,14386.0,12200.0
Mouse_Thymus4,47_18,3,14886.0,9600.0
Mouse_Thymus4,37_46,2,13886.0,12400.0
Mouse_Thymus4,32_17,0,13386.0,9500.0
Mouse_Thymus4,5_54,6,10686.0,13200.0
Mouse_Thymus4,7_39,6,10886.0,11700.0
Mouse_Thymus4,53_12,0,15486.0,9000.0
Mouse_Thymus4,8_44,0,10986.0,12200.0
Mouse_Thymus4,14_29,4,11586.0,10700.0
Mouse_Thymus4,23_28,2,12486.0,10600.0
Mouse_Thymus4,19_34,6,12086.0,11200.0
