mode,scope,k,label,n_labeled,n_label_classes,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_asw_n_obs,metric_space
joint,combined,10,spatial_cluster,344594,8,0.29591640709501477,0.454028944433603,0.4697761749829212,0.4393031899538124,0.4540289444336029,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,10,codex_coarse_label,665399,10,0.0857081168883587,0.13498061939836217,0.15615216872145748,0.11886462051920282,0.13498061939836217,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,11,cell_type_common,956139,16,0.11865412064375735,0.29466429402880057,0.3662149034630494,0.24650287154319778,0.29466429402880057,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,11,spatial_cluster,344594,8,0.2554442939425949,0.41526403849202453,0.4409872801253391,0.3923763239328909,0.41526403849202453,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,11,codex_coarse_label,665399,10,0.056624511857678146,0.13077763314253932,0.15638902848645986,0.11237439212768692,0.13077763314253935,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,12,cell_type_common,956139,16,0.13505236816949087,0.3064780061841957,0.38937630228423703,0.25268196339102583,0.3064780061841957,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,12,spatial_cluster,344594,8,0.2535203458354275,0.4153841469363286,0.44798285507567054,0.3872078963096921,0.4153841469363285,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,12,codex_coarse_label,665399,10,0.06576949018553037,0.12911017865659824,0.15883265790977674,0.10875817624375259,0.12911017865659824,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,13,cell_type_common,956139,16,0.10075705707642439,0.30101870519300816,0.3882232133624466,0.2458048694251312,0.3010187051930082,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,13,spatial_cluster,344594,8,0.2765191285194195,0.43832143864361806,0.48606420133553857,0.3991187345985899,0.438321438643618,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,13,codex_coarse_label,665399,10,0.040864207455768256,0.13428722002120627,0.16802819570165023,0.11183095579663087,0.13428722002120627,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,14,cell_type_common,956139,16,0.14708470217985645,0.31550108110552166,0.4147721448210982,0.25457210197569635,0.3155010811055218,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,14,spatial_cluster,344594,8,0.26684405980748144,0.4369433594342343,0.48660411282664556,0.3964802640755846,0.4369433594342343,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,14,codex_coarse_label,665399,10,0.0621290462580455,0.12691391494183213,0.1619986830400747,0.10432071775325014,0.12691391494183213,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,15,cell_type_common,956139,16,0.10820821117715762,0.2982722652783881,0.39962951435254035,0.23792724522845837,0.2982722652783881,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,15,spatial_cluster,344594,8,0.22130060240311747,0.4065238561142329,0.45887318958763024,0.3648956962647989,0.40652385611423286,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,15,codex_coarse_label,665399,10,0.05192254179015011,0.13047196909003372,0.16901683541802637,0.10624291061816275,0.13047196909003372,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,16,cell_type_common,956139,16,0.11187509240457069,0.3065217351468413,0.41724700115473123,0.24223862261949292,0.3065217351468412,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,16,spatial_cluster,344594,8,0.2520570331385794,0.42708409888881477,0.49101242533808037,0.3778846634407635,0.42708409888881477,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,16,codex_coarse_label,665399,10,0.05094538730801381,0.12671764846287212,0.1660668219473712,0.10244380979500119,0.1267176484628721,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,17,cell_type_common,956139,16,0.10559822170036906,0.3062956651312692,0.42095734824334935,0.24072597018407832,0.30629566513126927,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,17,spatial_cluster,344594,8,0.24564515765622244,0.43552897919787253,0.5056947576697207,0.38246191181863565,0.43552897919787253,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,17,codex_coarse_label,665399,10,0.04591213401035586,0.12637122564555664,0.16755084738137668,0.1014399384578959,0.1263712256455566,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,18,cell_type_common,956139,16,0.1084748383980888,0.3030370230688547,0.4191057205817902,0.23731431402939962,0.3030370230688547,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,18,spatial_cluster,344594,8,0.2436708244768972,0.43164402028755805,0.49970287830537513,0.37990189465359664,0.43164402028755805,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,18,codex_coarse_label,665399,10,0.05431436522620109,0.13025956826214793,0.17410494491459108,0.10405506536453736,0.13025956826214793,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,19,cell_type_common,956139,16,0.11195838626529359,0.30012724592926016,0.42408727619172937,0.2322429920521875,0.3001272459292601,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,19,spatial_cluster,344594,8,0.23312653555434218,0.4353634124842602,0.5168989382484037,0.37604599868198363,0.4353634124842602,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,19,codex_coarse_label,665399,10,0.05773108486917621,0.1258899828018275,0.17198289907692393,0.09928163823234239,0.12588998280182748,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,20,cell_type_common,956139,16,0.10225464329264164,0.29931704289664124,0.4262493396486351,0.2306361662878411,0.29931704289664124,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,20,spatial_cluster,344594,8,0.22819798806160987,0.42625520492058816,0.5098827666889704,0.3661944414099624,0.4262552049205882,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,20,codex_coarse_label,665399,10,0.04486065604874803,0.12874555824259187,0.17629868104778798,0.10139597590125714,0.12874555824259187,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
independent,section1,2,cell_type_common,611545,16,0.3972447715327267,0.3649743522742754,0.25662709772283787,0.6316590762721092,0.36497435227427544,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,2,codex_coarse_label,665399,10,0.171686617859038,0.16690094659607088,0.11847100927831097,0.2823046969338023,0.1669009465960709,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,3,cell_type_common,611545,16,0.21263508101987572,0.32393804915334395,0.25897114491493756,0.4324163594476578,0.32393804915334395,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,3,codex_coarse_label,665399,10,0.06336196942672964,0.14209391708568958,0.11512585254592436,0.18556140887900918,0.1420939170856896,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,4,cell_type_common,611545,16,0.26609189270083256,0.2999302051553506,0.27029838351193214,0.3368588016152647,0.2999302051553507,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,4,codex_coarse_label,665399,10,0.14055014360455534,0.16034498781106896,0.14726239092577137,0.17597870414750494,0.16034498781106896,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,5,cell_type_common,611545,16,0.35116365051761433,0.32790544852927916,0.3143133078147639,0.342726277539897,0.32790544852927916,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
