mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,metric_space,section_ari,section_nmi
independent,section2,9,403563,128,0.12750780582427979,0.5637539029121399,10000,28936.87241830432,2.359473961770555,403563,standardized_embedding,,
independent,section2,10,403563,128,0.14029563963413239,0.5701478198170662,10000,28167.02820586324,2.1858128570637265,403563,standardized_embedding,,
independent,section2,11,403563,128,0.12436014413833618,0.5621800720691681,10000,26473.423440736315,2.161477545134695,403563,standardized_embedding,,
independent,section2,12,403563,128,0.12896576523780823,0.5644828826189041,10000,25378.457844847057,2.134904003096387,403563,standardized_embedding,,
independent,section2,13,403563,128,0.12601548433303833,0.5630077421665192,10000,24815.334618986777,2.147455213668675,403563,standardized_embedding,,
independent,section2,14,403563,128,0.13593247532844543,0.5679662376642227,10000,23413.46549278697,2.103083339110454,403563,standardized_embedding,,
independent,section2,15,403563,128,0.12879636883735657,0.5643981844186783,10000,22948.968024604615,2.1892105940470517,403563,standardized_embedding,,
independent,section2,16,403563,128,0.13200227916240692,0.5660011395812035,10000,22838.664180338154,2.0088616068267653,403563,standardized_embedding,,
independent,section2,17,403563,128,0.1331796795129776,0.5665898397564888,10000,22069.357637356596,2.106192249695725,403563,standardized_embedding,,
independent,section2,18,403563,128,0.13603676855564117,0.5680183842778206,10000,22072.422992120606,1.910258909288729,403563,standardized_embedding,,
independent,section2,19,403563,128,0.13496841490268707,0.5674842074513435,10000,20906.860104499676,2.0637929403370734,403563,standardized_embedding,,
independent,section2,20,403563,128,0.13482271134853363,0.5674113556742668,10000,20360.447525234606,2.1064985715607545,403563,standardized_embedding,,
