mode,scope,k,n_iter,n_steps,inertia,labels_cache,centers_cache
independent,section2,4,3,239,39703592.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k4.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k4_centers.npy
independent,section2,5,2,165,38918600.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k5.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k5_centers.npy
independent,section2,6,3,240,37159436.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k6.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k6_centers.npy
independent,section2,7,3,265,34996868.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k7.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k7_centers.npy
independent,section2,8,3,212,33482232.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k8.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k8_centers.npy
independent,section2,9,2,166,32843054.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k9.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k9_centers.npy
independent,section2,10,3,262,31753812.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k10.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k10_centers.npy
independent,section2,11,2,164,31200456.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k11.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k11_centers.npy
independent,section2,12,2,196,30557806.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k12.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k12_centers.npy
independent,section2,13,3,239,29774214.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k13.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k13_centers.npy
independent,section2,14,2,196,29470120.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k14.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k14_centers.npy
independent,section2,15,2,196,28781506.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k15.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k15_centers.npy
independent,section2,16,2,196,27952212.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k16.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k16_centers.npy
independent,section2,17,3,227,27589408.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k17.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k17_centers.npy
independent,section2,18,2,196,26773570.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k18.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k18_centers.npy
independent,section2,19,3,198,26779842.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k19.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k19_centers.npy
independent,section2,20,3,263,26407754.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k20.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section2_k20_centers.npy
