mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,metric_n_obs,silhouette_sample_size,label_key,n_labeled,n_true_labels,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
independent,9,9.0,0.12972411513328552,0.5648620575666428,2.2750755620729644,28701.578500962572,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.2868534530156606,0.46529899029384486,0.47740499596418995,0.45379176737935645,0.4652989902938449,0.06038723140954971,0.5301936157047749,section2,
independent_section_spatial,9,,,,,,,,cluster,,,,,,,,,,section2,0.8126789786642151
joint,10,10.0,0.12549592554569244,0.5627479627728462,2.151849186289048,67823.97108304712,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.2144407366604429,0.3186803716974463,0.38099162039752266,0.2738862291801767,0.3186803716974463,0.02469717524945736,0.5123485876247287,,
joint,10,10.0,0.12549592554569244,0.5627479627728462,2.151849186289048,67823.97108304712,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.2936538397023854,0.4533543507581831,0.4659560325059593,0.441416339778393,0.4533543507581831,0.06080184876918793,0.530400924384594,,
joint,10,10.0,0.12549592554569244,0.5627479627728462,2.151849186289048,67823.97108304712,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.09119210101946909,0.13583520831266482,0.1572307257714443,0.11956512101521877,0.1358352083126648,-0.006588565185666084,0.49670571740716696,,
joint,10,10.0,0.12549592554569244,0.5627479627728462,2.151849186289048,67823.97108304712,1068962.0,10000.0,section,1068962.0,2.0,0.014747133834910544,0.036035035851895776,0.07860782009375435,0.02337532174268377,0.03603503585189578,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,10,,,,,,,,cluster,,,,,,,,,,section1,0.7626689650370179
joint_section_spatial,10,,,,,,,,cluster,,,,,,,,,,section2,0.7403978230577795
independent,10,10.0,0.1321820765733719,0.5660910382866859,2.190319730406404,45129.922254360645,665399.0,10000.0,cell_type_common,611545.0,16.0,0.1414217029192836,0.3073851647106836,0.3572078109854875,0.2697596208273444,0.3073851647106836,0.016841620206832886,0.5084208101034164,section1,
independent,10,10.0,0.1321820765733719,0.5660910382866859,2.190319730406404,45129.922254360645,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.06332152390916154,0.13328237642053326,0.15826384545818764,0.11511225529642616,0.13328237642053323,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,10,,,,,,,,cluster,,,,,,,,,,section1,0.7610413701653694
independent,10,10.0,0.12925292551517487,0.5646264627575874,2.3545890812100616,27655.783023111297,403563.0,10000.0,cell_type_common,344594.0,16.0,0.18556102363501253,0.35173917563961954,0.48504326715680984,0.2759108073254194,0.3517391756396196,-0.0017710962565615773,0.4991144518717192,section2,
independent,10,10.0,0.12925292551517487,0.5646264627575874,2.3545890812100616,27655.783023111297,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.3007599895849338,0.4590386121319719,0.4838978685342338,0.43660873744677403,0.45903861213197183,0.06038723140954971,0.5301936157047749,section2,
independent_section_spatial,10,,,,,,,,cluster,,,,,,,,,,section2,0.838415563369288
joint,11,11.0,0.12816974520683289,0.5640848726034164,2.173478697776747,66046.48712740566,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.16309482071407183,0.32756489535873456,0.40635660685730424,0.2743659090783525,0.3275648953587346,0.02469717524945736,0.5123485876247287,,
joint,11,11.0,0.12816974520683289,0.5640848726034164,2.173478697776747,66046.48712740566,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.31111545751582736,0.4582052146673584,0.48698316598441715,0.4326387132026657,0.4582052146673583,0.06080184876918793,0.530400924384594,,
joint,11,11.0,0.12816974520683289,0.5640848726034164,2.173478697776747,66046.48712740566,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.06865555372044899,0.1293094355164997,0.1576135818386937,0.10962334522320576,0.12930943551649973,-0.006588565185666084,0.49670571740716696,,
joint,11,11.0,0.12816974520683289,0.5640848726034164,2.173478697776747,66046.48712740566,1068962.0,10000.0,section,1068962.0,2.0,0.0028687264449701183,0.005425716318567218,0.012377745540290388,0.0034743361881796903,0.0054257163185672174,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,11,,,,,,,,cluster,,,,,,,,,,section1,0.7320730368796267
joint_section_spatial,11,,,,,,,,cluster,,,,,,,,,,section2,0.720443895996412
independent,11,11.0,0.13648217916488647,0.5682410895824432,2.123169464364424,44121.20858613755,665399.0,10000.0,cell_type_common,611545.0,16.0,0.15553143397651498,0.3117885947579494,0.3724834282024519,0.26810229167159455,0.31178859475794946,0.016841620206832886,0.5084208101034164,section1,
independent,11,11.0,0.13648217916488647,0.5682410895824432,2.123169464364424,44121.20858613755,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.07007289460050731,0.12748972007810255,0.15583634339156704,0.1078684535948633,0.12748972007810255,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,11,,,,,,,,cluster,,,,,,,,,,section1,0.727734286746248
