mode,k,section,cluster,count,fraction
independent,17,section1,9,40783,0.06129104492191903
independent,17,section1,10,52176,0.07841310251443119
independent,17,section1,11,33719,0.05067485824294897
independent,17,section1,12,33469,0.05029914382197749
independent,17,section1,13,33123,0.04977915506335297
independent,17,section1,14,24479,0.03678845324384317
independent,17,section1,15,43640,0.06558470932478107
independent,17,section1,16,34819,0.05232800169522347
independent,17,section2,0,27790,0.06886161516293615
independent,17,section2,1,22373,0.055438679958271696
independent,17,section2,2,25008,0.061968019863069705
independent,17,section2,3,33464,0.08292137782700594
independent,17,section2,4,24233,0.060047625773423235
independent,17,section2,5,23185,0.05745075737864968
independent,17,section2,6,31572,0.07823313832041094
independent,17,section2,7,24589,0.060929768090731806
independent,17,section2,8,19072,0.04725904010030652
independent,17,section2,9,21413,0.05305986921496768
independent,17,section2,10,20595,0.05103292422744404
independent,17,section2,11,17994,0.044587833869804715
independent,17,section2,12,23846,0.0590886676925288
independent,17,section2,13,20487,0.05076530801882234
independent,17,section2,14,30189,0.07480616409333858
independent,17,section2,15,23689,0.05869963301888429
independent,17,section2,16,14064,0.034849577389403884
independent,18,section1,0,33027,0.049634880725699916
independent,18,section1,1,51543,0.07746179360053142
independent,18,section1,2,33618,0.05052306961687649
independent,18,section1,3,52991,0.07963793152679821
independent,18,section1,4,43577,0.06549002929069626
independent,18,section1,5,36847,0.05537579707814409
independent,18,section1,6,36875,0.0554178770932929
independent,18,section1,7,39742,0.0597265700729938
independent,18,section1,8,30194,0.04537728490725114
independent,18,section1,9,27762,0.04172233502004061
independent,18,section1,10,35242,0.05296371049550721
independent,18,section1,11,33501,0.05034723526786184
independent,18,section1,12,45662,0.06862348756159838
independent,18,section1,13,41041,0.06167878220436159
independent,18,section1,14,30290,0.04552155924490418
independent,18,section1,15,27701,0.04163066070132357
independent,18,section1,16,34482,0.05182153865575392
independent,18,section1,17,31304,0.0470454569363645
independent,18,section2,0,26356,0.06530826661512577
independent,18,section2,1,30033,0.07441960734755168
independent,18,section2,2,47916,0.11873239122516187
independent,18,section2,3,21756,0.05390979847012734
independent,18,section2,4,17384,0.043076297876663616
independent,18,section2,5,25608,0.06345477657763472
independent,18,section2,6,23105,0.05725252315004101
independent,18,section2,7,14293,0.0354170228687962
independent,18,section2,8,23374,0.05791908574373766
independent,18,section2,9,22376,0.05544611374184452
independent,18,section2,10,22406,0.05552045157757277
independent,18,section2,11,23810,0.0589994622896549
independent,18,section2,12,20311,0.05032919271588327
independent,18,section2,13,15536,0.03849708719580338
independent,18,section2,14,26469,0.06558827246303552
independent,18,section2,15,19266,0.04773975810468254
independent,18,section2,16,12739,0.03156632297807282
independent,18,section2,17,10825,0.026823569058610428
independent,19,section1,0,15613,0.0234641170185107
independent,19,section1,1,53369,0.08020601173130708
independent,19,section1,2,41727,0.06270974257550732
independent,19,section1,3,45843,0.06889550480238173
independent,19,section1,4,34218,0.05142478422720804
independent,19,section1,5,33234,0.0499459722662643
independent,19,section1,6,31982,0.048064394446039146
independent,19,section1,7,32014,0.04811248589192349
independent,19,section1,8,23270,0.0349714983040251
independent,19,section1,9,39994,0.06010529020933305
independent,19,section1,10,17103,0.025703374967500702
independent,19,section1,11,34260,0.05148790424993124
independent,19,section1,12,41546,0.06243772533472398
independent,19,section1,13,38059,0.057197260591013814
independent,19,section1,14,29184,0.04385939864652637
independent,19,section1,15,47796,0.0718305858590109
independent,19,section1,16,31038,0.04664569679245085
independent,19,section1,17,41605,0.06252639393807324
independent,19,section1,18,33544,0.050411858148268936
independent,19,section2,0,22014,0.0545491038573903
independent,19,section2,1,19142,0.047432495050339106
independent,19,section2,2,12306,0.0304933802157284
independent,19,section2,3,38647,0.09576447791299005
independent,19,section2,4,27312,0.06767716564699935
independent,19,section2,5,22714,0.056283653357716144
independent,19,section2,6,32050,0.07941758783634774
independent,19,section2,7,27854,0.06902020254582308
independent,19,section2,8,15472,0.03833849981291645
independent,19,section2,9,18489,0.04581440815932085
independent,19,section2,10,28129,0.06970163270666538
independent,19,section2,11,10391,0.025748148368408403
independent,19,section2,12,23264,0.05764651367940074
independent,19,section2,13,21612,0.05355297685863174
independent,19,section2,14,17587,0.04357931723175811
independent,19,section2,15,18550,0.04596556175863496
independent,19,section2,16,12484,0.030934451374382686
independent,19,section2,17,13696,0.03393769993780401
independent,19,section2,18,21850,0.054142723688742525
independent,2,section1,0,352678,0.5300248422375147
independent,2,section1,1,312721,0.4699751577624854
independent,2,section2,0,171875,0.42589385052643575
independent,2,section2,1,231688,0.5741061494735642
independent,20,section1,0,48680,0.07315911205156606
independent,20,section1,1,29028,0.04362495284784017
independent,20,section1,2,49763,0.07478670692321449
independent,20,section1,3,44021,0.0661572981023416
independent,20,section1,4,31621,0.04752186282215633
independent,20,section1,5,30223,0.04542086778008383
independent,20,section1,6,26457,0.0397611057425695
independent,20,section1,7,32695,0.0491359319746498
independent,20,section1,8,33039,0.04965291501790655
independent,20,section1,9,31058,0.046675753946128565
independent,20,section1,10,35587,0.05348219639644784
independent,20,section1,11,28814,0.043303341303488584
independent,20,section1,12,29448,0.044256153075072246
independent,20,section1,13,27591,0.04146534635609612
independent,20,section1,14,35662,0.05359491072273929
independent,20,section1,15,29197,0.043878935796416885
independent,20,section1,16,29191,0.043869918650313575
independent,20,section1,17,35318,0.05307792767948254
independent,20,section1,18,25132,0.03776981931142066
independent,20,section1,19,32874,0.04940494350006538
independent,20,section2,0,17384,0.043076297876663616
independent,20,section2,1,15741,0.03900506240661309
independent,20,section2,2,23205,0.05750031593580184
independent,20,section2,3,15700,0.038903467364451154
independent,20,section2,4,17828,0.044176497845441726
independent,20,section2,5,15905,0.039411442575260865
independent,20,section2,6,28782,0.07131971959768363
independent,20,section2,7,26172,0.06485232788932584
independent,20,section2,8,19930,0.04938510220213449
independent,20,section2,9,25290,0.06266679551891527
independent,20,section2,10,19483,0.048277468449783555
independent,20,section2,11,20184,0.05001449587796701
independent,20,section2,12,13302,0.03296139636190632
independent,20,section2,13,16489,0.04085855244410414
independent,20,section2,14,16226,0.04020685741755314
independent,20,section2,15,19654,0.048701194113434584
independent,20,section2,16,29377,0.0727940866729606
independent,20,section2,17,20063,0.049714666607196395
independent,20,section2,18,20367,0.05046795667590934
independent,20,section2,19,22481,0.0557062961668934
independent,3,section1,0,176486,0.26523334119828856
independent,3,section1,1,275966,0.41473762359125876
independent,3,section1,2,212947,0.3200290352104527
independent,3,section2,0,164272,0.40705416502503944
independent,3,section2,1,133217,0.33010211540701206
independent,3,section2,2,106074,0.2628437195679485
independent,4,section1,0,214203,0.3219166244614134
independent,4,section1,1,121318,0.18232368849367073
independent,4,section1,2,175085,0.2631278375831644
independent,4,section1,3,154793,0.23263184946175153
independent,4,section2,0,113656,0.281631368584335
independent,4,section2,1,89091,0.22076107076218582
independent,4,section2,2,120597,0.2988306658439946
independent,4,section2,3,80219,0.19877689480948452
independent,5,section1,0,70162,0.10544350081680315
independent,5,section1,1,133919,0.20126119816831706
independent,5,section1,2,203330,0.3055760528645219
independent,5,section1,3,111765,0.16796688903950863
independent,5,section1,4,146223,0.21975235911084928
independent,5,section2,0,69603,0.17247121267311424
independent,5,section2,1,74857,0.18549024563698852
independent,5,section2,2,110678,0.27425209942437734
independent,5,section2,3,73520,0.18217725609136615
independent,5,section2,4,74905,0.18560918617415373
independent,6,section1,0,128607,0.1932780181515151
independent,6,section1,1,121646,0.1828166258139853
independent,6,section1,2,87858,0.1320380703908482
independent,6,section1,3,74688,0.11224543469407078
independent,6,section1,4,96482,0.14499871505668027
independent,6,section1,5,156118,0.23462313589290035
independent,6,section2,0,55099,0.1365313470263627
independent,6,section2,1,83973,0.20807903598694627
independent,6,section2,2,81991,0.2031677829731665
independent,6,section2,3,69808,0.17297918788392394
independent,6,section2,4,59500,0.14743670752769703
independent,6,section2,5,53192,0.13180593860190354
independent,7,section1,0,56639,0.085120356357614
independent,7,section1,1,140948,0.2118247848283511
independent,7,section1,2,105242,0.15816374836752084
independent,7,section1,3,108700,0.1633606302383983
independent,7,section1,4,71518,0.10748137583615244
independent,7,section1,5,66631,0.10013691033500201
independent,7,section1,6,115721,0.1739121940369613
independent,7,section2,0,52755,0.1307230841281287
