mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,label_key,n_labeled,n_true_labels,ari,nmi,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
independent,8,8.0,0.06443800032138824,0.5322190001606941,2.499630031116263,499.90415123873026,section,4697.0,1.0,0.0,0.0,,,Mouse_Thymus1,
independent_section_spatial,8,,,,,,cluster,,,,,,,Mouse_Thymus1,0.18302462564757646
independent,8,8.0,0.13015538454055786,0.5650776922702789,2.5727621150185227,387.17215131592684,section,4253.0,1.0,0.0,0.0,,,Mouse_Thymus2,
independent_section_spatial,8,,,,,,cluster,,,,,,,Mouse_Thymus2,0.41750920918567286
independent,8,8.0,0.15229031443595886,0.5761451572179794,2.412196181493571,453.4279392542275,section,4646.0,1.0,0.0,0.0,,,Mouse_Thymus3,
independent_section_spatial,8,,,,,,cluster,,,,,,,Mouse_Thymus3,0.461543980485005
independent,8,8.0,0.15672728419303894,0.5783636420965195,2.30761410277026,403.6256887946185,section,4228.0,1.0,0.0,0.0,,,Mouse_Thymus4,
independent_section_spatial,8,,,,,,cluster,,,,,,,Mouse_Thymus4,0.4655077262693157
joint,10,10.0,0.1950850635766983,0.5975425317883492,2.244571174303915,1297.3773173358154,section,17824.0,4.0,0.23704199925652764,0.3239448213527032,0.09815472364425659,0.5490773618221283,,
joint,10,10.0,0.1950850635766983,0.5975425317883492,2.244571174303915,1297.3773173358154,section,17824.0,4.0,0.23704199925652764,0.3239448213527032,,,,
joint_section_spatial,10,,,,,,cluster,,,,,,,Mouse_Thymus1,0.5697608402526435
joint_section_spatial,10,,,,,,cluster,,,,,,,Mouse_Thymus2,0.45101496982522143
joint_section_spatial,10,,,,,,cluster,,,,,,,Mouse_Thymus3,0.4667455876022385
joint_section_spatial,10,,,,,,cluster,,,,,,,Mouse_Thymus4,0.4667297382529171
independent,10,10.0,0.06696340441703796,0.533481702208519,2.4691406906400926,424.9492578628891,section,4697.0,1.0,0.0,0.0,,,Mouse_Thymus1,
independent_section_spatial,10,,,,,,cluster,,,,,,,Mouse_Thymus1,0.16812149599034845
independent,10,10.0,0.14558045566082,0.57279022783041,2.225989998193035,340.6192446492955,section,4253.0,1.0,0.0,0.0,,,Mouse_Thymus2,
independent_section_spatial,10,,,,,,cluster,,,,,,,Mouse_Thymus2,0.40673250254722154
independent,10,10.0,0.1400260478258133,0.5700130239129066,2.2387975552730106,401.4090109359494,section,4646.0,1.0,0.0,0.0,,,Mouse_Thymus3,
independent_section_spatial,10,,,,,,cluster,,,,,,,Mouse_Thymus3,0.43402927249246664
independent,10,10.0,0.1279553472995758,0.5639776736497879,2.287649221107326,350.8229892895925,section,4228.0,1.0,0.0,0.0,,,Mouse_Thymus4,
independent_section_spatial,10,,,,,,cluster,,,,,,,Mouse_Thymus4,0.4161936297697887
joint,12,12.0,0.18459609150886536,0.5922980457544327,2.162505845512898,1139.864440412206,section,17824.0,4.0,0.23511879637741698,0.31324316434969157,0.09815472364425659,0.5490773618221283,,
joint,12,12.0,0.18459609150886536,0.5922980457544327,2.162505845512898,1139.864440412206,section,17824.0,4.0,0.23511879637741698,0.31324316434969157,,,,
joint_section_spatial,12,,,,,,cluster,,,,,,,Mouse_Thymus1,0.5671350507416081
joint_section_spatial,12,,,,,,cluster,,,,,,,Mouse_Thymus2,0.42076181518927813
joint_section_spatial,12,,,,,,cluster,,,,,,,Mouse_Thymus3,0.44098866408379966
joint_section_spatial,12,,,,,,cluster,,,,,,,Mouse_Thymus4,0.4413040050457269
independent,12,12.0,0.07554774731397629,0.5377738736569881,2.4152647214018463,373.9249598389087,section,4697.0,1.0,0.0,0.0,,,Mouse_Thymus1,
independent_section_spatial,12,,,,,,cluster,,,,,,,Mouse_Thymus1,0.148711943793911
independent,12,12.0,0.155758336186409,0.5778791680932045,2.049016775759792,311.0598259081709,section,4253.0,1.0,0.0,0.0,,,Mouse_Thymus2,
