mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,label_key,n_labeled,n_true_labels,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
independent,12,12.0,0.08043047785758972,0.5402152389287949,2.753381495141405,76.7197095970869,Y,1777.0,12.0,0.22202115887757465,0.39057210571117834,0.47597493695863474,0.3311540711484524,0.39057210571117834,-0.01130040641874075,0.4943497967906296,dataset3,
independent,12,12.0,0.08043047785758972,0.5402152389287949,2.753381495141405,76.7197095970869,Combined_Clusters_annotation,1777.0,12.0,0.22202115887757465,0.3905721057111783,0.4759749369586347,0.33115407114845236,0.3905721057111783,-0.01130040641874075,0.4943497967906296,dataset3,
independent,12,12.0,0.08043047785758972,0.5402152389287949,2.753381495141405,76.7197095970869,Combined_Clusters,1777.0,12.0,0.22202115887757465,0.39057210571117834,0.47597493695863474,0.3311540711484524,0.39057210571117834,-0.01130040641874075,0.4943497967906296,dataset3,
independent,12,12.0,0.08043047785758972,0.5402152389287949,2.753381495141405,76.7197095970869,RNA_Clusters,1777.0,11.0,0.1819155362765696,0.35397935661810803,0.4315705077001388,0.3000364383611266,0.3539793566181081,0.001348482328467071,0.5006742411642335,dataset3,
independent,12,12.0,0.08043047785758972,0.5402152389287949,2.753381495141405,76.7197095970869,ATAC_Clusters,1777.0,11.0,0.21060005657821704,0.3760361849166257,0.42202954733081993,0.33908250556972364,0.3760361849166257,0.017317090183496475,0.5086585450917482,dataset3,
independent_section_spatial,12,,,,,,cluster,,,,,,,,,,dataset3,0.5208216094541361
independent,12,12.0,0.15753543376922607,0.578767716884613,2.2304405977208583,118.56797898391763,Y,1949.0,12.0,0.5722696957386869,0.6036991607570714,0.6190642473363829,0.5890783206145778,0.6036991607570714,0.08665869385004044,0.5433293469250202,dataset2,
independent,12,12.0,0.15753543376922607,0.578767716884613,2.2304405977208583,118.56797898391763,Combined_Clusters_annotation,1949.0,12.0,0.5722696957386869,0.6036991607570713,0.6190642473363827,0.5890783206145778,0.6036991607570712,0.08665869385004044,0.5433293469250202,dataset2,
independent,12,12.0,0.15753543376922607,0.578767716884613,2.2304405977208583,118.56797898391763,Combined_Clusters,1949.0,12.0,0.5722696957386869,0.6036991607570715,0.619064247336383,0.5890783206145779,0.6036991607570714,0.08665869385004044,0.5433293469250202,dataset2,
independent,12,12.0,0.15753543376922607,0.578767716884613,2.2304405977208583,118.56797898391763,RNA_Clusters,1949.0,11.0,0.5061066561385594,0.5153234890014423,0.6093861603401161,0.44641626818289254,0.5153234890014424,0.08994074910879135,0.5449703745543957,dataset2,
independent,12,12.0,0.15753543376922607,0.578767716884613,2.2304405977208583,118.56797898391763,ATAC_Clusters,1949.0,9.0,0.5140453726862155,0.5849962510914374,0.6703478064399881,0.5189245532332393,0.5849962510914374,0.11473353952169418,0.5573667697608471,dataset2,
independent_section_spatial,12,,,,,,cluster,,,,,,,,,,dataset2,0.6158713870360869
independent,12,12.0,0.08863674849271774,0.5443183742463589,3.003813285087297,82.31811149570737,Y,2129.0,14.0,0.36434706853783255,0.5416620845514788,0.5715509291592848,0.5147439215345965,0.5416620845514789,0.03017590008676052,0.5150879500433803,dataset1,
independent,12,12.0,0.08863674849271774,0.5443183742463589,3.003813285087297,82.31811149570737,Combined_Clusters_annotation,2129.0,14.0,0.36434706853783255,0.5416620845514787,0.5715509291592846,0.5147439215345964,0.5416620845514787,0.03017590008676052,0.5150879500433803,dataset1,
independent,12,12.0,0.08863674849271774,0.5443183742463589,3.003813285087297,82.31811149570737,Combined_Clusters,2129.0,14.0,0.36434706853783255,0.5416620845514785,0.5715509291592845,0.5147439215345961,0.5416620845514786,0.03017590008676052,0.5150879500433803,dataset1,
independent,12,12.0,0.08863674849271774,0.5443183742463589,3.003813285087297,82.31811149570737,RNA_Clusters,2129.0,13.0,0.29276447335406286,0.42178299612776693,0.4609738261852785,0.38873382818662516,0.4217829961277669,0.006517883390188217,0.5032589416950941,dataset1,
independent,12,12.0,0.08863674849271774,0.5443183742463589,3.003813285087297,82.31811149570737,ATAC_Clusters,2129.0,10.0,0.31273744013670696,0.5211778405950145,0.5942295507350681,0.4641210419481675,0.5211778405950145,0.04224149510264397,0.521120747551322,dataset1,
independent_section_spatial,12,,,,,,cluster,,,,,,,,,,dataset1,0.5281822451855331
joint,14,14.0,0.09904026985168457,0.5495201349258423,2.553292984864392,299.1608823985589,Y,7118.0,14.0,0.28479749081880484,0.40785578252298815,0.4288480481200377,0.3888227686935523,0.4078557825229881,-0.009016629308462143,0.49549168534576893,,
joint,14,14.0,0.09904026985168457,0.5495201349258423,2.553292984864392,299.1608823985589,Combined_Clusters_annotation,7118.0,16.0,0.26479916100035517,0.46056469213368434,0.4942751193621169,0.4311589013153266,0.4605646921336844,0.007638212293386459,0.5038191061466932,,
joint,14,14.0,0.09904026985168457,0.5495201349258423,2.553292984864392,299.1608823985589,Combined_Clusters,7118.0,16.0,0.26479916100035517,0.4605646921336843,0.49427511936211677,0.43115890131532647,0.46056469213368423,0.007638212293386459,0.5038191061466932,,
