mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled
joint,combined,Combined_Clusters,7118,16,16,0.24924328188413666,0.4550399447780583,0.5031390432558623,0.4153347621026019,0.45503994477805826,0.007638212759047747,0.5038191063795239
joint,combined,RNA_Clusters,7118,13,16,0.29035524626462555,0.45352382100378935,0.49508798203756754,0.41839801861535125,0.4535238210037893,0.02800515480339527,0.5140025774016976
joint,combined,ATAC_Clusters,7118,13,16,0.23233156579716285,0.43508417607023575,0.4983856997117457,0.3860506746615068,0.43508417607023575,0.027099009603261948,0.513549504801631
independent,dataset1,Y,2129,14,2,0.19737805189109897,0.31296619480634186,0.2052022066412959,0.6590981935291093,0.31296619480634186,0.03017590008676052,0.5150879500433803
independent,dataset1,Combined_Clusters_annotation,2129,14,2,0.19737805189109897,0.3129661948063418,0.20520220664129588,0.6590981935291093,0.3129661948063418,0.03017590008676052,0.5150879500433803
independent,dataset1,Combined_Clusters,2129,14,2,0.19737805189109897,0.3129661948063418,0.20520220664129588,0.6590981935291091,0.3129661948063418,0.03017590008676052,0.5150879500433803
independent,dataset1,RNA_Clusters,2129,13,2,0.2078789330947341,0.3023033739955284,0.20140967839472432,0.6057427251038351,0.3023033739955284,0.006517883390188217,0.5032589416950941
independent,dataset1,ATAC_Clusters,2129,10,2,0.2336491536694704,0.33066010190002426,0.22468309305270173,0.6258629028271187,0.33066010190002426,0.04224149510264397,0.521120747551322
independent,dataset2,Y,1949,12,2,0.2629487733604183,0.3673339461135937,0.24324878313915035,0.7498390471381298,0.3673339461135937,0.08665869385004044,0.5433293469250202
independent,dataset2,Combined_Clusters_annotation,1949,12,2,0.2629487733604183,0.3673339461135936,0.24324878313915027,0.7498390471381297,0.36733394611359366,0.08665869385004044,0.5433293469250202
independent,dataset2,Combined_Clusters,1949,12,2,0.2629487733604183,0.3673339461135937,0.24324878313915033,0.7498390471381297,0.3673339461135937,0.08665869385004044,0.5433293469250202
independent,dataset2,RNA_Clusters,1949,11,2,0.4198710147506017,0.43604480350266783,0.30989238452449613,0.7354249986668737,0.43604480350266783,0.08994074910879135,0.5449703745543957
independent,dataset2,ATAC_Clusters,1949,9,2,0.38944411846519367,0.4163162755286491,0.291164103673309,0.730166524065405,0.41631627552864897,0.11473353952169418,0.5573667697608471
independent,dataset3,Y,1777,12,2,0.21937962234949698,0.2627788894693439,0.1855214590467794,0.4502984379997578,0.26277888946934386,-0.01130040641874075,0.4943497967906296
