mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled
joint,combined,RNA_Clusters,7118,13,11,0.31093392820581967,0.4629406704376764,0.4706219029495317,0.45550614896962077,0.4629406704376764,0.02878217212855816,0.5143910860642791
joint,combined,ATAC_Clusters,7118,13,11,0.2570940907431303,0.4313594544164776,0.4587969404135037,0.407018481528959,0.43135945441647766,0.025749409571290016,0.512874704785645
joint,combined,Y,7118,14,12,0.2840102656952227,0.40408344382569816,0.412646523683579,0.39586853426610086,0.4040834438256982,-0.009248405694961548,0.4953757971525192
joint,combined,Combined_Clusters_annotation,7118,16,12,0.26999431928686607,0.452814182780508,0.47170671221016125,0.4353767215122211,0.45281418278050795,0.00605687266215682,0.5030284363310784
joint,combined,Combined_Clusters,7118,16,12,0.26999431928686607,0.45281418278050806,0.47170671221016136,0.43537672151222123,0.4528141827805081,0.00605687266215682,0.5030284363310784
joint,combined,RNA_Clusters,7118,13,12,0.30534804075494193,0.4613017061130627,0.4747492591783324,0.44859498821470933,0.4613017061130627,0.02878217212855816,0.5143910860642791
joint,combined,ATAC_Clusters,7118,13,12,0.25953239515093374,0.43960304108712345,0.4735883397733016,0.41016880825335744,0.4396030410871235,0.025749409571290016,0.512874704785645
joint,combined,Y,7118,14,13,0.2604111935174802,0.40204911232116836,0.41851527690086615,0.38682959667914857,0.40204911232116836,-0.009248405694961548,0.4953757971525192
joint,combined,Combined_Clusters_annotation,7118,16,13,0.25404203609088133,0.4496159222583056,0.4776113847659995,0.42472067852828754,0.4496159222583056,0.00605687266215682,0.5030284363310784
joint,combined,Combined_Clusters,7118,16,13,0.25404203609088133,0.4496159222583056,0.4776113847659995,0.42472067852828754,0.4496159222583056,0.00605687266215682,0.5030284363310784
joint,combined,RNA_Clusters,7118,13,13,0.30243532610575097,0.4638287377336367,0.48665718683413106,0.44304603065834336,0.4638287377336367,0.02878217212855816,0.5143910860642791
joint,combined,ATAC_Clusters,7118,13,13,0.24791217246565803,0.4333025537905014,0.47628675462832204,0.3974346435990834,0.43330255379050153,0.025749409571290016,0.512874704785645
joint,combined,Y,7118,14,14,0.27771590783061867,0.4064131084062243,0.4287326805807098,0.3863024302080314,0.4064131084062243,-0.009248405694961548,0.4953757971525192
joint,combined,Combined_Clusters_annotation,7118,16,14,0.25579019923386037,0.45109530527792957,0.48572956673934187,0.4210714029612913,0.45109530527792957,0.00605687266215682,0.5030284363310784
joint,combined,Combined_Clusters,7118,16,14,0.25579019923386037,0.45109530527792957,0.48572956673934187,0.4210714029612913,0.45109530527792957,0.00605687266215682,0.5030284363310784
joint,combined,RNA_Clusters,7118,13,14,0.28863396661642426,0.45390348677189335,0.48267801276211303,0.42836669364338414,0.4539034867718934,0.02878217212855816,0.5143910860642791
