mode,k,section,plot_n_obs,point_size,dpi,figure_path,figure_sha256,labels_path,labels_sha256
independent,8,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/spatial_dataset1.png,86e43b0da7ce47ef86ea2dc537a33efab709b2beece99d17c8a26956233db261,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_dataset1.csv,1f3cf6e977f5b13995f658ff84d9e81eed2a620d8c3053b34d7fd6fc5c5cb011
independent,8,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/spatial_dataset2.png,88ee0f39b898ea01533976e6acf80bfcbbb48c3e6dcc9b9e3a428843fd697e00,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_dataset2.csv,bf0abfc38fd3979217d23c1679e24057dea7f6151ac7b2c817e02063363ffc5b
independent,8,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/spatial_dataset3.png,892ca44466311f8788d3fdaf939bbda4e8b6e23afd0eb97a180877db89bbae89,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_dataset3.csv,fb34c79eb8f559900e7d8497f7902535173b0349d14ef92aafdcb3cab86ef279
independent,8,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/spatial_dataset4.png,cc0a36e09cf4935deca5b340b80da4ca0f85594e79380c72842ccd0febfae87d,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_dataset4.csv,98a94f610dbd0d0c5e2dc88e7676e364ae1bf4e0a9425e141cc5a449fce53880
independent,10,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/spatial_dataset1.png,48af4f73ff9cdc6be475a455d68619cdd34aa6cc3e3b34228963da38cfad4297,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_dataset1.csv,946a4a43f72454efc1e6b0621069269013f182cef213df79d286184f4f8566e6
independent,10,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/spatial_dataset2.png,5fbbecd79b4e6065fe5e3f0ce3f8a51dff5f9b67148e98499731ee78ba414c5f,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_dataset2.csv,db389bae46116890f382505c535fb9def5e2b836d5dc21ba35b565a256f57ded
independent,10,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/spatial_dataset3.png,9a1b64b428ae285c52a7d9b2d98b470fd069e88f0217f753a16cb1ad5e508789,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_dataset3.csv,84549d796e2c3b32fa5a8db9887bc051cb3ca049d2904b52abe21027899a9c9d
independent,10,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/spatial_dataset4.png,e1f275cd1c4cdd6ce5200458d89d09ade3b4b3704683c2e81eb51bde3b8741a0,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_dataset4.csv,0e29864ca3e15ce003ea67287ce82f0d8b21515f93020ff8a32fc4e80b9093a1
independent,12,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/spatial_dataset1.png,6233bc928efddc1cdd63d5dac5c6c1f67c09edd2b786f59f9dcf3e7262ea2c06,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_dataset1.csv,cea63c3c0083722419b7b996f3721e788d23b601679f2f8842c8728a18a19c14
independent,12,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/spatial_dataset2.png,def6336f526c0e18f279f4bccd8c1b4fe6e31f8087bdd2704cbf09049d4eb6c9,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_dataset2.csv,c9d298bd0d36299ae12e5350304ff6825169c46cbde907c21e8eccefdd6ad87d
independent,12,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/spatial_dataset3.png,0aa8439950653f06c9b5459688074cd2e0c279790a6f9104206c8044826874eb,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_dataset3.csv,679f1a37fb6de540f87a881122f529374fb09c2e97d2724bffb012055fe65a3c
independent,12,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/spatial_dataset4.png,5a921a81966c4e9bbdd52e60b684743b0822d9024cca5f69f4fe3d64aead29f7,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_dataset4.csv,e7a9bb603b7fb0a4181b4c19b600c9de31fab852b413432c0d09446031281617
independent,14,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/spatial_dataset1.png,9099a0dc09649a1028c38f4a904382d8c4284a88b54f59a7543d80c78d721bb5,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/labels_dataset1.csv,69e1a4cf10b0072ea5cb85fbdc1939f1080f30b42a43e938029f34e6366ec5f3
independent,14,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/spatial_dataset2.png,fa424798527c6ef00117fa97886bb0378c6d80ad936b2232cfecb73ae84fec30,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/labels_dataset2.csv,c15a2e28d4e22f5cdde9e592b8673c1e419bf62b09a222b8a882fbfc8da5f071
independent,14,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/spatial_dataset3.png,20288fe20bb05389802345b57c0b769e22d870e44cb1122a24a24aa781ebeb07,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/labels_dataset3.csv,48372bd07fe178a682ef6febdc06cf3584b438e8bbca29919f01f744e9f5f411
independent,14,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/spatial_dataset4.png,b76a7827b93816c6b8419e18d4af00eb86f195150527d23d5fd0fe48b49ac9c4,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/labels_dataset4.csv,0d6998dcf3f2c82405a98b2570316c9ff12e20e352ba085a098a6c11999edc5f
independent,16,dataset1,2129,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/spatial_dataset1.png,3c55f8485f7755b9412389c1b14a9ac2b38edd1d878d5c75ed5421b923a57d3c,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/labels_dataset1.csv,f8b68b640554f405f47a76b8331c13aec5cd5884aa85e4f29ac7151a4edf3097
independent,16,dataset2,1949,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/spatial_dataset2.png,c0f469edc447d2c7a482c85c17c97df0435a6d518984f1b27ed5723dff1e5c19,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/labels_dataset2.csv,3328c8a3288097b0a3cb98d7f902b06fae5926232e8f7f301763109274990b93
independent,16,dataset3,1777,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/spatial_dataset3.png,b29ac7e84cbf805dd81103a66fbe933737afa107b83d1dfd13e22ddace145e5d,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/labels_dataset3.csv,3ef994d10865082802372728f0d2f102e57a3479e1d3c315a0b13abcdbb0c5ee
independent,16,dataset4,1263,18.0,220,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/spatial_dataset4.png,1ee95460f60f8a8d0f699876ec4d0129c210d598d28a00f66a8a61e0266ede6e,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/labels_dataset4.csv,bdde59976dba944cca6ef6b06f5bdd7441726d1718a425bb58070e57a7877df3
