mode,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction,labels_path
joint,15,dataset2,1949,6,0.6175816658115273,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_dataset2.csv
joint,15,dataset3,1777,6,0.5819733633464641,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_dataset3.csv
joint,15,dataset4,1263,6,0.6761678543151227,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k15/labels_dataset4.csv
joint,16,dataset1,2129,6,0.646782527007985,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset1.csv
joint,16,dataset2,1949,6,0.6258765178724132,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset2.csv
joint,16,dataset3,1777,6,0.5544925905083474,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset3.csv
joint,16,dataset4,1263,6,0.6847453153866455,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/joint_k16/labels_dataset4.csv
independent,2,dataset1,2129,6,0.8848442148113356,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_dataset1.csv
independent,2,dataset2,1949,6,0.8882332820249701,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_dataset2.csv
independent,2,dataset3,1777,6,0.8704745826299006,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_dataset3.csv
independent,2,dataset4,1263,6,0.8854579044602797,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_dataset4.csv
independent,3,dataset1,2129,6,0.8487552841709722,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_dataset1.csv
independent,3,dataset2,1949,6,0.8183683940482298,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_dataset2.csv
independent,3,dataset3,1777,6,0.7699305946351529,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_dataset3.csv
independent,3,dataset4,1263,6,0.7796252309316443,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_dataset4.csv
independent,4,dataset1,2129,6,0.8351338656646313,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_dataset1.csv
independent,4,dataset2,1949,6,0.7806567470497691,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_dataset2.csv
independent,4,dataset3,1777,6,0.7106546614143688,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_dataset3.csv
independent,4,dataset4,1263,6,0.7371338083927158,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_dataset4.csv
independent,5,dataset1,2129,6,0.7636605605135431,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset1.csv
independent,5,dataset2,1949,6,0.745596032153241,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset2.csv
independent,5,dataset3,1777,6,0.6533483398987057,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset3.csv
independent,5,dataset4,1263,6,0.6451570335180786,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_dataset4.csv
independent,6,dataset1,2129,6,0.7418976045091592,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_dataset1.csv
independent,6,dataset2,1949,6,0.7547460236018471,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_dataset2.csv
independent,6,dataset3,1777,6,0.6590695929469143,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_dataset3.csv
independent,6,dataset4,1263,6,0.6353919239904988,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_dataset4.csv
independent,7,dataset1,2129,6,0.6952403319242211,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_dataset1.csv
independent,7,dataset2,1949,6,0.7257567983581323,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_dataset2.csv
independent,7,dataset3,1777,6,0.606640405177265,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_dataset3.csv
independent,7,dataset4,1263,6,0.5868302982317234,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_dataset4.csv
independent,8,dataset1,2129,6,0.6421637701581338,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_dataset1.csv
independent,8,dataset2,1949,6,0.7133572772361895,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_dataset2.csv
independent,8,dataset3,1777,6,0.5932282873757269,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_dataset3.csv
independent,8,dataset4,1263,6,0.5537081024016891,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_dataset4.csv
independent,9,dataset1,2129,6,0.6066228276186003,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_dataset1.csv
independent,9,dataset2,1949,6,0.6861638447066872,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_dataset2.csv
independent,9,dataset3,1777,6,0.5734383792909398,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_dataset3.csv
independent,9,dataset4,1263,6,0.5568751649511745,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_dataset4.csv
independent,10,dataset1,2129,6,0.552058869578832,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_dataset1.csv
independent,10,dataset2,1949,6,0.6526423807080554,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_dataset2.csv
independent,10,dataset3,1777,6,0.5467079347214406,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_dataset3.csv
independent,10,dataset4,1263,6,0.47070467141726047,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_dataset4.csv
independent,11,dataset1,2129,6,0.5229372162204478,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_dataset1.csv
independent,11,dataset2,1949,6,0.6257910039336412,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_dataset2.csv
independent,11,dataset3,1777,6,0.5264490714687676,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_dataset3.csv
independent,11,dataset4,1263,6,0.4679334916864608,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_dataset4.csv
independent,12,dataset1,2129,6,0.5281822451855331,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_dataset1.csv
independent,12,dataset2,1949,6,0.6158713870360869,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_dataset2.csv
independent,12,dataset3,1777,6,0.5208216094541361,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_dataset3.csv
independent,12,dataset4,1263,6,0.42504618632884666,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_dataset4.csv
independent,13,dataset1,2129,6,0.5036793486770001,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k13/labels_dataset1.csv
independent,13,dataset2,1949,6,0.6044980331794082,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k13/labels_dataset2.csv
independent,13,dataset3,1777,6,0.5046895516788595,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k13/labels_dataset3.csv
independent,13,dataset4,1263,6,0.4255740300870942,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k13/labels_dataset4.csv
independent,14,dataset1,2129,6,0.4963989353374041,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/labels_dataset1.csv
independent,14,dataset2,1949,6,0.5968017786899265,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/labels_dataset2.csv
independent,14,dataset3,1777,6,0.49587319452260364,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/labels_dataset3.csv
independent,14,dataset4,1263,6,0.42385853787278965,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k14/labels_dataset4.csv
independent,15,dataset1,2129,6,0.4700955064975732,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k15/labels_dataset1.csv
independent,15,dataset2,1949,6,0.577732170343766,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k15/labels_dataset2.csv
independent,15,dataset3,1777,6,0.4879009566685425,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k15/labels_dataset3.csv
independent,15,dataset4,1263,6,0.39324359989443125,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k15/labels_dataset4.csv
independent,16,dataset1,2129,6,0.47228745890089247,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/labels_dataset1.csv
independent,16,dataset2,1949,6,0.5492560287326834,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/labels_dataset2.csv
independent,16,dataset3,1777,6,0.4588257362596136,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/labels_dataset3.csv
independent,16,dataset4,1263,6,0.38981261546582213,/home/hujinlan/spa_mo_model/results/misar_seq_preprocessing_comparison/raw_embedding/clustering/independent_k16/labels_dataset4.csv
