mode,scope,k,n_obs,embedding_dim,cluster_asw_raw,cluster_asw_scaled_raw,cluster_asw_n_obs,calinski_harabasz_raw,davies_bouldin_raw,ch_dbi_n_obs,section_ari_raw,section_nmi_raw,section_asw_raw,section_asw_n_obs_raw,metric_space_raw,labels_path_raw,cluster_asw_standardized,cluster_asw_scaled_standardized,calinski_harabasz_standardized,davies_bouldin_standardized,section_ari_standardized,section_nmi_standardized,section_asw_standardized,section_asw_n_obs_standardized,metric_space_standardized,labels_path_standardized,cluster_asw_delta_standardized_minus_raw,cluster_asw_scaled_delta_standardized_minus_raw,calinski_harabasz_delta_standardized_minus_raw,davies_bouldin_delta_standardized_minus_raw,section_ari_delta_standardized_minus_raw,section_nmi_delta_standardized_minus_raw,section_asw_delta_standardized_minus_raw
joint,combined,12,17824,128,0.2008605748414993,0.6004302874207497,10000,3098.102197946817,2.029850149487737,17824,0.2355974134852635,0.3128614004861403,0.1169909536838531,10000,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/joint_k12/labels_all.csv,0.1687105298042297,0.5843552649021149,2009.591642099113,2.1161034786446264,0.2374174325902363,0.3096677503596131,0.0953141674399375,10000,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/joint_k12/labels_all.csv,-0.03215004503726959,-0.016075022518634796,-1088.510555847704,0.08625332915688944,0.0018200191049727865,-0.0031936501265272255,-0.0216767862439156
independent,Mouse_Thymus1,2,4697,128,0.384902149438858,0.692451074719429,2635,1231.7772607132974,1.396733002902652,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_Mouse_Thymus1.csv,0.3145269155502319,0.657263457775116,871.2999597061325,2.166375464561866,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Thymus1.csv,-0.0703752338886261,-0.03518761694431305,-360.4773010071649,0.7696424616592139,,,
independent,Mouse_Thymus1,3,4697,128,0.3553644120693207,0.6776822060346603,2635,1226.657457144008,1.3537333036650043,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_Mouse_Thymus1.csv,0.3360045254230499,0.668002262711525,940.4396525483468,1.499615570177555,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Thymus1.csv,-0.019359886646270752,-0.009679943323135376,-286.2178045956613,0.14588226651255076,,,
independent,Mouse_Thymus1,4,4697,128,0.3605158925056457,0.6802579462528229,2635,1041.263124285664,1.4179459698573245,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_Mouse_Thymus1.csv,0.3374099731445312,0.6687049865722656,796.1704712325612,1.568909841562835,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Thymus1.csv,-0.023105919361114502,-0.011552959680557251,-245.0926530531027,0.15096387170551062,,,
independent,Mouse_Thymus1,5,4697,128,0.2608639299869537,0.6304319649934769,2635,911.4110464276396,2.0270599369658013,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus1.csv,0.2432591468095779,0.621629573404789,706.2356390708682,2.2160209639290924,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Thymus1.csv,-0.017604783177375793,-0.008802391588687897,-205.17540735677142,0.1889610269632911,,,
independent,Mouse_Thymus1,6,4697,128,0.2578500807285309,0.6289250403642654,2635,797.4559244457326,1.9560686153000155,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_Mouse_Thymus1.csv,0.2442257702350616,0.6221128851175308,622.4058610433851,2.106245540320482,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_Mouse_Thymus1.csv,-0.013624310493469294,-0.006812155246734619,-175.05006340234752,0.15017692502046653,,,
independent,Mouse_Thymus1,7,4697,128,0.1957681030035019,0.597884051501751,2635,705.4115622484471,2.383901942868596,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Thymus1.csv,0.2074708491563797,0.6037354245781898,555.372383170559,2.4276898683604564,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Thymus1.csv,0.011702746152877808,0.005851373076438904,-150.0391790778881,0.0437879254918605,,,
independent,Mouse_Thymus1,8,4697,128,0.0706729814410209,0.5353364907205105,2635,636.0332577280507,2.381475000441634,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus1.csv,0.1940109729766845,0.5970054864883423,502.8966662251905,2.5430795511148228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Thymus1.csv,0.12333799153566359,0.0616689957678318,-133.1365915028602,0.1616045506731889,,,
independent,Mouse_Thymus1,9,4697,128,0.0723358243703842,0.5361679121851921,2635,581.1654437580348,2.351204977830508,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Thymus1.csv,0.069519355893135,0.5347596779465675,461.5648329017028,2.431401866867414,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k9/labels_Mouse_Thymus1.csv,-0.002816468477249201,-0.0014082342386245728,-119.60061085633203,0.0801968890369058,,,
independent,Mouse_Thymus1,10,4697,128,0.0733225271105766,0.5366612635552883,2635,538.3845318335992,2.3653648782369325,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Thymus1.csv,0.0740761905908584,0.5370380952954292,429.6960598902348,2.3262482362360006,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Thymus1.csv,0.0007536634802818021,0.0003768317401409149,-108.68847194336445,-0.0391166420009319,,,
