mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,section_ari,section_nmi,section_asw,section_asw_n_obs,metric_space,labels_path
independent,Mouse_Thymus2,7,4253,128,0.14397068321704865,0.5719853416085243,2386,428.4080497742522,2.528605355834908,4253,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,8,4253,128,0.08743166923522949,0.5437158346176147,2386,393.90927407872215,2.573111184492949,4253,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,9,4253,128,0.09371312707662582,0.5468565635383129,2386,367.3448444030832,2.3883260744149393,4253,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k9/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,10,4253,128,0.10415897518396378,0.5520794875919819,2386,345.61043806413323,2.2900081729340807,4253,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,11,4253,128,0.15108634531497955,0.5755431726574898,2386,327.20719358950095,2.1315349569013153,4253,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k11/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus2,12,4253,128,0.10107302665710449,0.5505365133285522,2386,314.89556905664045,2.202154391373785,4253,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k12/labels_Mouse_Thymus2.csv
independent,Mouse_Thymus3,2,4646,128,0.24955570697784424,0.6247778534889221,2607,1358.3505780638607,1.4429686040317304,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,3,4646,128,0.2555913031101227,0.6277956515550613,2607,919.5607309572038,2.6525739656826546,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,4,4646,128,0.19270266592502594,0.596351332962513,2607,736.6179904163685,2.4638327154109634,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,5,4646,128,0.1879551261663437,0.5939775630831718,2607,621.9209470406587,2.3669743698256207,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,6,4646,128,0.18373221158981323,0.5918661057949066,2607,546.2651833787089,2.421384151521258,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,7,4646,128,0.15962360799312592,0.579811803996563,2607,498.8265940926753,2.3074157979321077,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,8,4646,128,0.16526471078395844,0.5826323553919792,2607,462.84879414092717,2.1664186865505486,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,9,4646,128,0.1606413722038269,0.5803206861019135,2607,432.01788527555146,2.229524441999134,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k9/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,10,4646,128,0.13437634706497192,0.567188173532486,2607,406.3448134741449,2.217363371803839,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,11,4646,128,0.14068357646465302,0.5703417882323265,2607,385.8045790733159,2.2162907916396333,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k11/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus3,12,4646,128,0.14594580233097076,0.5729729011654854,2607,368.97651347799916,2.1272905687333155,4646,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k12/labels_Mouse_Thymus3.csv
independent,Mouse_Thymus4,2,4228,128,0.24673950672149658,0.6233697533607483,2372,1263.4892226007562,1.5061197965545172,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,3,4228,128,0.20950064063072205,0.604750320315361,2372,827.7125044534749,2.6150628106817524,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,4,4228,128,0.1830628663301468,0.5915314331650734,2372,652.416882969025,2.414330083118681,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,5,4228,128,0.18694910407066345,0.5934745520353317,2372,556.2304883622678,2.3595077336284875,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,6,4228,128,0.14946751296520233,0.5747337564826012,2372,486.258979065563,2.4030041824097914,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,7,4228,128,0.14880502223968506,0.5744025111198425,2372,441.2112982101888,2.441469494328328,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,8,4228,128,0.1584235578775406,0.5792117789387703,2372,408.17763096863933,2.280212133655352,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,9,4228,128,0.0989876314997673,0.5494938157498837,2372,378.6684245488619,2.2882495706529906,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k9/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,10,4228,128,0.1044234186410904,0.5522117093205452,2372,355.6076949156333,2.309911187787187,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,11,4228,128,0.0784311294555664,0.5392155647277832,2372,332.9189502733066,2.3899848013409706,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k11/labels_Mouse_Thymus4.csv
independent,Mouse_Thymus4,12,4228,128,0.1053486093878746,0.5526743046939373,2372,315.86987874760564,2.244976952442397,4228,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k12/labels_Mouse_Thymus4.csv
