mode,scope,k,n_iter,n_steps,inertia,labels_cache,centers_cache
independent,section1,16,2,258,55282952.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k16.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k16_centers.npy
independent,section1,17,2,275,54805384.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k17.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k17_centers.npy
independent,section1,18,2,258,53973104.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k18.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k18_centers.npy
independent,section1,19,2,277,53057372.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k19.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k19_centers.npy
independent,section1,20,3,336,52110976.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k20.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k20_centers.npy
independent,section2,2,2,134,54851704.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k2.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k2_centers.npy
independent,section2,3,1,97,50042236.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k3.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k3_centers.npy
independent,section2,4,3,239,47330264.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k4.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k4_centers.npy
independent,section2,5,2,164,44709088.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k5.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k5_centers.npy
independent,section2,6,2,177,43162112.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k6.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k6_centers.npy
independent,section2,7,3,264,41849460.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k7.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k7_centers.npy
