mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,metric_space,section_ari,section_nmi
independent,section1,11,665399,128,0.13817323744297028,0.5690866187214851,10000,45316.135753390074,2.117372768896432,665399,raw_embedding,,
independent,section1,12,665399,128,0.13965295255184174,0.5698264762759209,10000,42068.58283039432,2.1200219065974606,665399,raw_embedding,,
independent,section1,13,665399,128,0.13268427550792694,0.5663421377539635,10000,40671.82078929513,2.249316949283984,665399,raw_embedding,,
independent,section1,14,665399,128,0.13404051959514618,0.5670202597975731,10000,39432.065660927474,2.221117243395984,665399,raw_embedding,,
independent,section1,15,665399,128,0.13389593362808228,0.5669479668140411,10000,38970.42695426007,2.1091469600483435,665399,raw_embedding,,
independent,section1,16,665399,128,0.13652747869491577,0.5682637393474579,10000,37381.90119667713,2.1490836815492425,665399,raw_embedding,,
independent,section1,17,665399,128,0.13017910718917847,0.5650895535945892,10000,35668.21870494066,2.1610135593210726,665399,raw_embedding,,
independent,section1,18,665399,128,0.12032140791416168,0.5601607039570808,10000,34707.186851729675,2.172520417117831,665399,raw_embedding,,
independent,section1,19,665399,128,0.1276392638683319,0.563819631934166,10000,33942.90978532436,2.106576273785012,665399,raw_embedding,,
independent,section1,20,665399,128,0.1250763237476349,0.5625381618738174,10000,33413.11319604347,2.05194680179901,665399,raw_embedding,,
independent,section2,2,403563,128,0.11093111336231232,0.5554655566811562,10000,47399.1037908922,2.878735132879292,403563,raw_embedding,,
independent,section2,3,403563,128,0.11092537641525269,0.5554626882076263,10000,45366.43238175592,2.429987470402747,403563,raw_embedding,,
independent,section2,4,403563,128,0.11341096460819244,0.5567054823040962,10000,40009.50317674755,2.5578947197743904,403563,raw_embedding,,
independent,section2,5,403563,128,0.12092669308185577,0.5604633465409279,10000,37421.03606516635,2.44121939649992,403563,raw_embedding,,
independent,section2,6,403563,128,0.1202048808336258,0.5601024404168129,10000,33937.51891371785,2.5343594905838156,403563,raw_embedding,,
independent,section2,7,403563,128,0.122210294008255,0.5611051470041275,10000,31465.502676271673,2.3978116561244796,403563,raw_embedding,,
independent,section2,8,403563,128,0.1363479048013687,0.5681739524006844,10000,31823.857768780177,2.284555677297437,403563,raw_embedding,,
independent,section2,9,403563,128,0.13326123356819153,0.5666306167840958,10000,29848.052166522175,2.272183589655805,403563,raw_embedding,,
independent,section2,10,403563,128,0.13338325917720795,0.566691629588604,10000,28973.459981187658,2.3339154637208774,403563,raw_embedding,,
independent,section2,11,403563,128,0.12682968378067017,0.5634148418903351,10000,27378.11661250812,2.353795688575951,403563,raw_embedding,,
independent,section2,12,403563,128,0.13634882867336273,0.5681744143366814,10000,26058.90653850228,2.1875780612997873,403563,raw_embedding,,
independent,section2,13,403563,128,0.13169042766094208,0.565845213830471,10000,25607.472358443087,2.0778085636972006,403563,raw_embedding,,
independent,section2,14,403563,128,0.131106898188591,0.5655534490942955,10000,25009.366733551065,2.193457370406786,403563,raw_embedding,,
independent,section2,15,403563,128,0.12504765391349792,0.562523826956749,10000,23783.38399064266,2.1280100863580933,403563,raw_embedding,,
independent,section2,16,403563,128,0.13383139669895172,0.5669156983494759,10000,23309.217216799305,2.1253226005864443,403563,raw_embedding,,
independent,section2,17,403563,128,0.13683220744132996,0.568416103720665,10000,23162.7287371214,2.101957329468637,403563,raw_embedding,,
independent,section2,18,403563,128,0.13913977146148682,0.5695698857307434,10000,22237.023236255714,2.0437508825553845,403563,raw_embedding,,
independent,section2,19,403563,128,0.1372852325439453,0.5686426162719727,10000,21869.988282029717,1.9712587816843181,403563,raw_embedding,,
independent,section2,20,403563,128,0.13155509531497955,0.5657775476574898,10000,21082.796016045744,2.1056768052197103,403563,raw_embedding,,
