mode,scope,k,label,n_labeled,n_label_classes,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_asw_n_obs,metric_space
joint,combined,17,codex_coarse_label,665399,10,0.04928058626618213,0.1314410282307503,0.1773697323540544,0.1044058362674375,0.1314410282307503,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,18,cell_type_common,956139,16,0.1182307261283148,0.3025156782872975,0.4217333023961318,0.2358456743109701,0.30251567828729753,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,18,spatial_cluster,344594,8,0.24001644400710936,0.42621622110444907,0.49983373919800256,0.37150018383021216,0.42621622110444907,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,18,codex_coarse_label,665399,10,0.05497795216398034,0.12339685737596061,0.1671832835281224,0.097786036793757,0.1233968573759606,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,19,cell_type_common,956139,16,0.0983987274970751,0.30205723236703697,0.425906937817494,0.23400948848628803,0.30205723236703697,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,19,spatial_cluster,344594,8,0.2315994207384052,0.43368395350593036,0.5128253937641697,0.3757037243364575,0.43368395350593036,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,19,codex_coarse_label,665399,10,0.043814362590125326,0.12878455032668143,0.17544823457008674,0.10172809327576805,0.12878455032668143,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,20,cell_type_common,956139,16,0.10738802261442283,0.30070740967085136,0.42806212978342534,0.23175648028946996,0.3007074096708514,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,20,spatial_cluster,344594,8,0.23228180502382023,0.42929991009110746,0.5089110219123062,0.37122725455599753,0.42929991009110746,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,20,codex_coarse_label,665399,10,0.05291620264744046,0.12969152714116444,0.17903204220101088,0.10167131829998642,0.12969152714116444,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,2,cell_type_common,611545,16,0.42872487943920806,0.3738013899122044,0.26292751240164985,0.6463684321146786,0.37380138991220446,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,2,codex_coarse_label,665399,10,0.19956899572178188,0.1707536317298483,0.12139622183188326,0.28774552494134836,0.1707536317298483,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,3,cell_type_common,611545,16,0.4844459542377321,0.3315221617392509,0.27009720239656904,0.42910933964087905,0.3315221617392509,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,3,codex_coarse_label,665399,10,0.2531895701999305,0.16600705229116489,0.13779115093440436,0.2087542842621497,0.16600705229116489,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,4,cell_type_common,611545,16,0.382228708629456,0.31565147444143987,0.2824903995115306,0.3576334683896178,0.31565147444143987,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,4,codex_coarse_label,665399,10,0.2012446692878911,0.1448725266891387,0.1328072005602254,0.15934914708166478,0.14487252668913872,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,5,cell_type_common,611545,16,0.18681338036601852,0.2956844289822322,0.2821568192921892,0.31057448339075666,0.2956844289822322,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,5,codex_coarse_label,665399,10,0.08071894764973296,0.13873302345071797,0.13518040850491622,0.1424774075147564,0.13873302345071795,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,6,cell_type_common,611545,16,0.3146273017433855,0.32891342530832135,0.3321762886373614,0.32571403863095755,0.3289134253083213,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,6,codex_coarse_label,665399,10,0.1482921586023374,0.1383333657536354,0.14350853715683637,0.133518454385806,0.1383333657536354,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,7,cell_type_common,611545,16,0.2961233394461992,0.3375868458402735,0.35623349866620196,0.3207951733872817,0.3375868458402735,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,7,codex_coarse_label,665399,10,0.15022657677800055,0.14766060352838783,0.15945564236710927,0.13749035170046645,0.14766060352838783,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,8,cell_type_common,611545,16,0.25407889780145404,0.33733382532122896,0.36959685613253623,0.3102512227683749,0.3373338253212289,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,8,codex_coarse_label,665399,10,0.1133544592132911,0.1395477655150406,0.15656536231678572,0.12586688566267085,0.1395477655150406,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,9,cell_type_common,611545,16,0.16251749959237818,0.3117741881756578,0.35433386030328246,0.2783420303237979,0.3117741881756577,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,9,codex_coarse_label,665399,10,0.0768330229660736,0.13530767068650643,0.1571743519386147,0.11878224267071023,0.13530767068650645,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,10,cell_type_common,611545,16,0.1414217029192836,0.3073851647106836,0.3572078109854875,0.2697596208273444,0.3073851647106836,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,10,codex_coarse_label,665399,10,0.06332152390916154,0.13328237642053326,0.15826384545818764,0.11511225529642616,0.13328237642053323,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,11,cell_type_common,611545,16,0.15553143397651498,0.3117885947579494,0.3724834282024519,0.26810229167159455,0.31178859475794946,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,11,codex_coarse_label,665399,10,0.07007289460050731,0.12748972007810255,0.15583634339156704,0.1078684535948633,0.12748972007810255,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,12,cell_type_common,611545,16,0.22129239463493053,0.3130036835908467,0.37654176578112797,0.26781267140174037,0.3130036835908467,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,12,codex_coarse_label,665399,10,0.10641058918016286,0.13336937454068243,0.16456807360962467,0.11211474116048294,0.13336937454068246,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,13,cell_type_common,611545,16,0.16323753635251256,0.30511914161506587,0.377640434940507,0.2559642859734944,0.30511914161506587,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,13,codex_coarse_label,665399,10,0.08076967391072536,0.12918984402469966,0.1645054997856042,0.10635730636419485,0.12918984402469963,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,14,cell_type_common,611545,16,0.13569972003775788,0.2979607975637007,0.3777945795907485,0.2459812015412571,0.29796079756370075,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,14,codex_coarse_label,665399,10,0.062401310857555986,0.12569467075459478,0.1631676499259745,0.1022190975352997,0.12569467075459476,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,15,cell_type_common,611545,16,0.12431111631447099,0.30487834861313007,0.3907809939707179,0.24993654969797358,0.30487834861313007,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,15,codex_coarse_label,665399,10,0.05673331748336535,0.12786610971252318,0.16837731715107299,0.10306814388313686,0.12786610971252318,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
independent,section1,16,cell_type_common,611545,16,0.12044625379092784,0.2952861632332372,0.3859872273931965,0.23910108440593503,0.29528616323323725,0.015683023259043694,0.5078415116295218,10000,raw_embedding
independent,section1,16,codex_coarse_label,665399,10,0.057124721893710664,0.12119332441072014,0.16253369481409838,0.09661846288426021,0.12119332441072016,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
