section,spot_index,obs_name,cluster,stage
Mouse_Thymus3,174,108_46,8,Mouse_Thymus3
Mouse_Thymus3,175,47_32,8,Mouse_Thymus3
Mouse_Thymus3,176,89_5,5,Mouse_Thymus3
Mouse_Thymus3,177,61_32,6,Mouse_Thymus3
Mouse_Thymus3,178,17_45,8,Mouse_Thymus3
Mouse_Thymus3,179,106_25,9,Mouse_Thymus3
Mouse_Thymus3,180,42_33,6,Mouse_Thymus3
Mouse_Thymus3,181,59_14,1,Mouse_Thymus3
Mouse_Thymus3,182,68_35,9,Mouse_Thymus3
Mouse_Thymus3,183,22_58,5,Mouse_Thymus3
Mouse_Thymus3,184,79_17,0,Mouse_Thymus3
Mouse_Thymus3,185,42_30,0,Mouse_Thymus3
Mouse_Thymus3,186,79_52,8,Mouse_Thymus3
Mouse_Thymus3,187,30_57,5,Mouse_Thymus3
Mouse_Thymus3,188,31_45,0,Mouse_Thymus3
Mouse_Thymus3,189,94_46,9,Mouse_Thymus3
Mouse_Thymus3,190,99_45,9,Mouse_Thymus3
Mouse_Thymus3,191,97_55,8,Mouse_Thymus3
Mouse_Thymus3,192,76_53,9,Mouse_Thymus3
Mouse_Thymus3,193,76_49,8,Mouse_Thymus3
Mouse_Thymus3,194,85_15,0,Mouse_Thymus3
Mouse_Thymus3,195,85_30,8,Mouse_Thymus3
Mouse_Thymus3,196,29_59,5,Mouse_Thymus3
Mouse_Thymus3,197,21_43,5,Mouse_Thymus3
Mouse_Thymus3,198,67_39,6,Mouse_Thymus3
Mouse_Thymus3,199,33_56,5,Mouse_Thymus3
Mouse_Thymus3,200,84_49,1,Mouse_Thymus3
Mouse_Thymus3,201,35_31,6,Mouse_Thymus3
Mouse_Thymus3,202,46_35,8,Mouse_Thymus3
Mouse_Thymus3,203,71_51,5,Mouse_Thymus3
Mouse_Thymus3,204,38_30,6,Mouse_Thymus3
Mouse_Thymus3,205,64_29,1,Mouse_Thymus3
Mouse_Thymus3,206,44_18,8,Mouse_Thymus3
