section,obs_name,cluster,x,y
CRC_006_bin20,74302934237580,2,581.0,673.0
CRC_006_bin20,40544491292220,7,188.0,733.0
CRC_006_bin20,66056597022060,4,485.0,313.0
CRC_006_bin20,34531537076880,7,118.0,686.0
CRC_006_bin20,49735721302140,9,295.0,557.0
CRC_006_bin20,79886391715440,4,646.0,326.0
CRC_006_bin20,44409961849340,3,233.0,269.0
CRC_006_bin20,47072841583800,3,264.0,816.0
CRC_006_bin20,52999896453420,7,333.0,873.0
CRC_006_bin20,62362925143660,7,442.0,121.0
CRC_006_bin20,58583353928840,7,398.0,404.0
CRC_006_bin20,67087389167740,6,497.0,45.0
CRC_006_bin20,45097156625520,8,241.0,710.0
CRC_006_bin20,62792421879940,2,447.0,455.0
CRC_006_bin20,59528246739320,0,409.0,672.0
CRC_006_bin20,87016037422120,7,729.0,92.0
CRC_006_bin20,63565515987720,5,456.0,180.0
CRC_006_bin20,52055003644700,5,322.0,693.0
CRC_006_bin20,87789131537020,6,738.0,173.0
CRC_006_bin20,47760036350220,1,272.0,769.0
CRC_006_bin20,37881611564440,5,157.0,520.0
CRC_006_bin20,37538014179360,5,153.0,450.0
CRC_006_bin20,38654705674800,4,166.0,374.0
CRC_006_bin20,53171695140760,0,335.0,648.0
CRC_006_bin20,71811853200580,6,552.0,407.0
CRC_006_bin20,53601191870120,0,340.0,636.0
CRC_006_bin20,67087389169940,3,497.0,155.0
CRC_006_bin20,43808666432840,5,226.0,516.0
CRC_006_bin20,67860483292020,9,506.0,595.0
CRC_006_bin20,43379169705680,3,221.0,638.0
CRC_006_bin20,77910706758640,4,623.0,294.0
CRC_006_bin20,54717883362200,3,353.0,392.0
CRC_006_bin20,87789131535060,7,738.0,75.0
CRC_006_bin20,42863773621040,4,215.0,182.0
CRC_006_bin20,36764920072260,5,144.0,759.0
CRC_006_bin20,72413148618140,4,559.0,213.0
CRC_006_bin20,40200893908300,3,184.0,721.0
CRC_006_bin20,36593121375940,5,142.0,535.0
CRC_006_bin20,77653008717320,8,620.0,116.0
CRC_006_bin20,33672543606640,6,108.0,134.0
CRC_006_bin20,65712999636880,5,481.0,238.0
CRC_006_bin20,70523363013140,6,537.0,475.0
CRC_006_bin20,71210557781920,2,545.0,546.0
CRC_006_bin20,64424509454640,9,466.0,566.0
CRC_006_bin20,40114994549380,1,183.0,71.0
CRC_006_bin20,71640054504820,4,550.0,211.0
CRC_006_bin20,47502338313040,1,269.0,798.0
CRC_006_bin20,41747082127740,7,202.0,365.0
CRC_006_bin20,71811853195540,5,552.0,155.0
CRC_006_bin20,75935021803280,4,600.0,334.0
CRC_006_bin20,64682207495900,3,469.0,741.0
CRC_006_bin20,74131135539960,4,579.0,384.0
CRC_006_bin20,73959336843360,5,577.0,146.0
CRC_006_bin20,65712999645960,1,481.0,692.0
CRC_006_bin20,50165218030040,1,300.0,472.0
CRC_006_bin20,64510408793400,4,467.0,208.0
CRC_006_bin20,76708115911900,3,609.0,101.0
CRC_006_bin20,47931835037520,1,274.0,542.0
CRC_006_bin20,54975581400820,4,356.0,435.0
CRC_006_bin20,81432579938100,4,664.0,131.0
CRC_006_bin20,33930241650340,8,111.0,431.0
CRC_006_bin20,49306224569640,0,290.0,412.0
CRC_006_bin20,41145786701060,3,195.0,103.0
CRC_006_bin20,28604482207520,6,49.0,642.0
CRC_006_bin20,32727650815400,6,97.0,828.0
CRC_006_bin20,65025804874820,2,473.0,503.0
CRC_006_bin20,44667659889540,5,236.0,391.0
CRC_006_bin20,51797305607540,1,319.0,723.0
CRC_006_bin20,27917287438300,6,41.0,549.0
CRC_006_bin20,54460185323520,1,350.0,346.0
CRC_006_bin20,44409961852340,8,233.0,419.0
CRC_006_bin20,64080912062480,5,462.0,142.0
CRC_006_bin20,44581760537340,7,235.0,77.0
CRC_006_bin20,38998303064200,5,170.0,660.0
CRC_006_bin20,72670846661300,4,562.0,483.0
CRC_006_bin20,46815143542560,3,261.0,642.0
CRC_006_bin20,40286793241620,3,185.0,91.0
CRC_006_bin20,41747082122260,3,202.0,91.0
CRC_006_bin20,24996709677800,6,7.0,588.0
CRC_006_bin20,67259187870840,2,499.0,608.0
CRC_006_bin20,54889682056680,0,355.0,524.0
CRC_006_bin20,41317585394680,1,197.0,192.0
CRC_006_bin20,61074434960920,4,427.0,424.0
CRC_006_bin20,72928544700420,2,565.0,551.0
CRC_006_bin20,60902636261640,6,425.0,52.0
CRC_006_bin20,34961033801720,6,123.0,448.0
CRC_006_bin20,48189533068240,1,277.0,190.0
CRC_006_bin20,82291573397700,4,674.0,151.0
CRC_006_bin20,50680614112940,7,306.0,841.0
CRC_006_bin20,72069551243340,2,555.0,657.0
CRC_006_bin20,45097156622000,5,241.0,534.0
CRC_006_bin20,85641647887700,2,713.0,107.0
CRC_006_bin20,80487687137980,4,653.0,381.0
CRC_006_bin20,60301340849180,2,418.0,501.0
CRC_006_bin20,56693568319460,0,376.0,447.0
CRC_006_bin20,35734127915960,6,132.0,496.0
CRC_006_bin20,44753559230940,6,237.0,165.0
CRC_006_bin20,63737314680660,5,458.0,235.0
CRC_006_bin20,65884798337720,4,483.0,688.0
CRC_006_bin20,49306224578440,8,290.0,852.0
CRC_006_bin20,34961033803540,1,123.0,539.0
CRC_006_bin20,75333726378520,5,593.0,168.0
CRC_006_bin20,29892972395060,7,64.0,579.0
CRC_006_bin20,56006373559040,5,368.0,794.0
CRC_006_bin20,80487687130700,6,653.0,17.0
CRC_006_bin20,53343493825900,5,337.0,313.0
CRC_006_bin20,51281909533380,5,313.0,791.0
CRC_006_bin20,61246233650940,5,429.0,333.0
CRC_006_bin20,53171695133720,5,335.0,296.0
CRC_006_bin20,51453708224260,1,315.0,743.0
CRC_006_bin20,47416438957780,7,268.0,331.0
CRC_006_bin20,65369402260320,2,477.0,594.0
CRC_006_bin20,46557445499520,3,258.0,378.0
CRC_006_bin20,30408368471220,7,70.0,611.0
CRC_006_bin20,48103633734760,1,276.0,812.0
CRC_006_bin20,35820027265020,7,133.0,653.0
CRC_006_bin20,42863773624660,7,215.0,363.0
CRC_006_bin20,52484500369720,1,327.0,464.0
CRC_006_bin20,41918880820100,5,204.0,391.0
CRC_006_bin20,50508815419320,5,304.0,752.0
CRC_006_bin20,56521769623520,3,374.0,242.0
CRC_006_bin20,58497454581500,8,397.0,333.0
CRC_006_bin20,64252710767800,7,464.0,816.0
CRC_006_bin20,50680614097780,7,306.0,83.0
CRC_006_bin20,48103633726880,8,276.0,418.0
CRC_006_bin20,66314295066280,2,488.0,636.0
CRC_006_bin20,72069551238360,6,555.0,408.0
CRC_006_bin20,54631984014460,0,352.0,301.0
