mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,metric_n_obs,silhouette_sample_size,label_key,n_labeled,n_true_labels,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
joint_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation3,0.32137345679012347
joint_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation4,0.32175925925925924
joint_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation5,0.3211162551440329
independent,12,12.0,0.4815024733543396,0.7407512366771698,0.9794689561699044,429.2056296692643,1296.0,1296.0,spatial_domain,1296.0,5.0,0.37598831341767025,0.5069412876351705,0.6430163619811111,0.4183995963939065,0.5069412876351705,0.346791535615921,0.6733957678079605,Simulation1,
independent_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation1,0.32175925925925924
independent,12,12.0,0.4836641550064087,0.7418320775032043,0.9191101039763282,431.092434831349,1296.0,1296.0,spatial_domain,1296.0,5.0,0.4131849425548358,0.5696360872751469,0.7213656670992271,0.47064271343711106,0.5696360872751468,0.34550198912620544,0.6727509945631027,Simulation2,
independent_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation2,0.35262345679012347
independent,12,12.0,0.4862734079360962,0.7431367039680481,0.9129397178526814,429.7828831474693,1296.0,1296.0,spatial_domain,1296.0,5.0,0.360621535103634,0.4838645254957386,0.6112805492952769,0.4004038785375132,0.48386452549573855,0.34492015838623047,0.6724600791931152,Simulation3,
independent_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation3,0.3140432098765432
independent,12,12.0,0.4822366535663605,0.7411183267831802,0.9836398044658335,426.8870839283407,1296.0,1296.0,spatial_domain,1296.0,5.0,0.3642536400927197,0.4957159951297952,0.6288935592429641,0.4090859592972082,0.4957159951297952,0.34389960765838623,0.6719498038291931,Simulation4,
independent_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation4,0.3109567901234568
independent,12,12.0,0.4769989252090454,0.7384994626045227,0.9952148217193933,422.56843857568094,1296.0,1296.0,spatial_domain,1296.0,5.0,0.37320229549636835,0.5046879585554427,0.640918949124505,0.41621836342249346,0.5046879585554427,0.34368395805358887,0.6718419790267944,Simulation5,
independent_section_spatial,12,,,,,,,,cluster,,,,,,,,,,Simulation5,0.319701646090535
